loopID	loopSource	chr1	start1	end1	chr2
ICE_iAMP_100	iAMP_10k	1	56410000	56420000	1
ICE_iAMP_103	iAMP_10k	1	56830000	56840000	1
ICE_iAMP_1030	iAMP_10k	2	119750000	119760000	2
ICE_iAMP_1033	iAMP_10k	2	120340000	120350000	2
ICE_iAMP_1034	iAMP_10k	2	120340000	120350000	2
ICE_iAMP_1035	iAMP_10k	2	120340000	120350000	2
ICE_iAMP_1069	iAMP_10k	2	135920000	135930000	2
ICE_iAMP_1070	iAMP_10k	2	135980000	135990000	2
ICE_iAMP_1071	iAMP_10k	2	135990000	136000000	2
ICE_iAMP_1083	iAMP_10k	2	144520000	144530000	2
ICE_iAMP_109	iAMP_10k	1	58770000	58780000	1
ICE_iAMP_1097	iAMP_10k	2	151260000	151270000	2
ICE_iAMP_1099	iAMP_10k	2	151280000	151290000	2
ICE_iAMP_11	iAMP_10k	1	23090000	23100000	1
ICE_iAMP_1104	iAMP_10k	2	152040000	152050000	2
ICE_iAMP_1109	iAMP_10k	2	152330000	152340000	2
ICE_iAMP_1120	iAMP_10k	2	156330000	156340000	2
ICE_iAMP_1121	iAMP_10k	2	156330000	156340000	2
ICE_iAMP_1122	iAMP_10k	2	156330000	156340000	2
ICE_iAMP_1126	iAMP_10k	2	157320000	157330000	2
ICE_iAMP_1137	iAMP_10k	2	158180000	158190000	2
ICE_iAMP_1171	iAMP_10k	2	189660000	189670000	2
ICE_iAMP_1172	iAMP_10k	2	189790000	189800000	2
ICE_iAMP_1178	iAMP_10k	2	191050000	191060000	2
ICE_iAMP_1188	iAMP_10k	2	195660000	195670000	2
ICE_iAMP_1193	iAMP_10k	2	196740000	196750000	2
ICE_iAMP_1198	iAMP_10k	2	197800000	197810000	2
ICE_iAMP_1199	iAMP_10k	2	197800000	197810000	2
ICE_iAMP_12	iAMP_10k	1	23550000	23560000	1
ICE_iAMP_1202	iAMP_10k	2	198310000	198320000	2
ICE_iAMP_1211	iAMP_10k	2	165000000	165010000	2
ICE_iAMP_1215	iAMP_10k	2	165230000	165240000	2
ICE_iAMP_1227	iAMP_10k	2	168160000	168170000	2
ICE_iAMP_1237	iAMP_10k	2	170230000	170240000	2
ICE_iAMP_1238	iAMP_10k	2	170330000	170340000	2
ICE_iAMP_1242	iAMP_10k	2	171160000	171170000	2
ICE_iAMP_1247	iAMP_10k	2	171800000	171810000	2
ICE_iAMP_1260	iAMP_10k	2	174700000	174710000	2
ICE_iAMP_1261	iAMP_10k	2	174760000	174770000	2
ICE_iAMP_1262	iAMP_10k	2	175020000	175030000	2
ICE_iAMP_1263	iAMP_10k	2	175190000	175200000	2
ICE_iAMP_1264	iAMP_10k	2	175300000	175310000	2
ICE_iAMP_1265	iAMP_10k	2	175360000	175370000	2
ICE_iAMP_1266	iAMP_10k	2	176120000	176130000	2
ICE_iAMP_1267	iAMP_10k	2	176120000	176130000	2
ICE_iAMP_1268	iAMP_10k	2	176120000	176130000	2
ICE_iAMP_128	iAMP_10k	1	63320000	63330000	1
ICE_iAMP_1280	iAMP_10k	2	178110000	178120000	2
ICE_iAMP_1289	iAMP_10k	2	180120000	180130000	2
ICE_iAMP_1296	iAMP_10k	2	181300000	181310000	2
ICE_iAMP_1298	iAMP_10k	2	199960000	199970000	2
ICE_iAMP_1302	iAMP_10k	2	199970000	199980000	2
ICE_iAMP_1303	iAMP_10k	2	199980000	199990000	2
ICE_iAMP_1305	iAMP_10k	2	200580000	200590000	2
ICE_iAMP_1306	iAMP_10k	2	200900000	200910000	2
ICE_iAMP_1314	iAMP_10k	2	202580000	202590000	2
ICE_iAMP_1322	iAMP_10k	2	205680000	205690000	2
ICE_iAMP_1334	iAMP_10k	2	207620000	207630000	2
ICE_iAMP_1337	iAMP_10k	2	208260000	208270000	2
ICE_iAMP_1342	iAMP_10k	2	209420000	209430000	2
ICE_iAMP_1343	iAMP_10k	2	209420000	209430000	2
ICE_iAMP_1344	iAMP_10k	2	209420000	209430000	2
ICE_iAMP_1357	iAMP_10k	2	212770000	212780000	2
ICE_iAMP_1363	iAMP_10k	2	216210000	216220000	2
ICE_iAMP_1364	iAMP_10k	2	216210000	216220000	2
ICE_iAMP_1368	iAMP_10k	2	216690000	216700000	2
ICE_iAMP_1369	iAMP_10k	2	216690000	216700000	2
ICE_iAMP_1377	iAMP_10k	2	237140000	237150000	2
ICE_iAMP_1378	iAMP_10k	2	237150000	237160000	2
ICE_iAMP_1379	iAMP_10k	2	237590000	237600000	2
ICE_iAMP_1380	iAMP_10k	2	237590000	237600000	2
ICE_iAMP_1383	iAMP_10k	2	240050000	240060000	2
ICE_iAMP_1384	iAMP_10k	2	240150000	240160000	2
ICE_iAMP_1385	iAMP_10k	2	240220000	240230000	2
ICE_iAMP_1388	iAMP_10k	2	217780000	217790000	2
ICE_iAMP_1390	iAMP_10k	2	218270000	218280000	2
ICE_iAMP_1391	iAMP_10k	2	218290000	218300000	2
ICE_iAMP_1395	iAMP_10k	2	220680000	220690000	2
ICE_iAMP_1399	iAMP_10k	2	222960000	222970000	2
ICE_iAMP_1403	iAMP_10k	2	223830000	223840000	2
ICE_iAMP_1434	iAMP_10k	2	227470000	227480000	2
ICE_iAMP_1436	iAMP_10k	2	227890000	227900000	2
ICE_iAMP_1438	iAMP_10k	2	227890000	227900000	2
ICE_iAMP_1443	iAMP_10k	2	230830000	230840000	2
ICE_iAMP_1448	iAMP_10k	2	231900000	231910000	2
ICE_iAMP_1455	iAMP_10k	2	234290000	234300000	2
ICE_iAMP_1473	iAMP_10k	3	9790000	9800000	3
ICE_iAMP_1477	iAMP_10k	3	11380000	11390000	3
ICE_iAMP_1490	iAMP_10k	3	14670000	14680000	3
ICE_iAMP_1500	iAMP_10k	3	16600000	16610000	3
ICE_iAMP_1507	iAMP_10k	3	18420000	18430000	3
ICE_iAMP_1511	iAMP_10k	3	20040000	20050000	3
ICE_iAMP_1515	iAMP_10k	3	21750000	21760000	3
ICE_iAMP_1516	iAMP_10k	3	22560000	22570000	3
ICE_iAMP_1517	iAMP_10k	3	23070000	23080000	3
ICE_iAMP_1518	iAMP_10k	3	23200000	23210000	3
ICE_iAMP_1536	iAMP_10k	3	27360000	27370000	3
ICE_iAMP_1544	iAMP_10k	3	30770000	30780000	3
ICE_iAMP_1547	iAMP_10k	3	31220000	31230000	3
ICE_iAMP_155	iAMP_10k	1	67530000	67540000	1
ICE_iAMP_1554	iAMP_10k	3	32950000	32960000	3
ICE_iAMP_1555	iAMP_10k	3	32950000	32960000	3
ICE_iAMP_1563	iAMP_10k	3	35390000	35400000	3
ICE_iAMP_1564	iAMP_10k	3	35510000	35520000	3
ICE_iAMP_1570	iAMP_10k	3	37450000	37460000	3
ICE_iAMP_1571	iAMP_10k	3	37860000	37870000	3
ICE_iAMP_1578	iAMP_10k	3	56800000	56810000	3
ICE_iAMP_1583	iAMP_10k	3	58000000	58010000	3
ICE_iAMP_1584	iAMP_10k	3	58180000	58190000	3
ICE_iAMP_1587	iAMP_10k	3	58640000	58650000	3
ICE_iAMP_1594	iAMP_10k	3	62620000	62630000	3
ICE_iAMP_1598	iAMP_10k	3	63350000	63360000	3
ICE_iAMP_1614	iAMP_10k	3	66500000	66510000	3
ICE_iAMP_164	iAMP_10k	1	68120000	68130000	1
ICE_iAMP_1642	iAMP_10k	3	71720000	71730000	3
ICE_iAMP_1646	iAMP_10k	3	72930000	72940000	3
ICE_iAMP_1652	iAMP_10k	3	38120000	38130000	3
ICE_iAMP_1656	iAMP_10k	3	39190000	39200000	3
ICE_iAMP_1657	iAMP_10k	3	39430000	39440000	3
ICE_iAMP_1658	iAMP_10k	3	40190000	40200000	3
ICE_iAMP_1676	iAMP_10k	3	45940000	45950000	3
ICE_iAMP_1678	iAMP_10k	3	46700000	46710000	3
ICE_iAMP_1682	iAMP_10k	3	49540000	49550000	3
ICE_iAMP_1683	iAMP_10k	3	50350000	50360000	3
ICE_iAMP_1684	iAMP_10k	3	50350000	50360000	3
ICE_iAMP_1687	iAMP_10k	3	51390000	51400000	3
ICE_iAMP_1688	iAMP_10k	3	51500000	51510000	3
ICE_iAMP_1696	iAMP_10k	3	55480000	55490000	3
ICE_iAMP_17	iAMP_10k	1	25510000	25520000	1
ICE_iAMP_170	iAMP_10k	1	70210000	70220000	1
ICE_iAMP_1704	iAMP_10k	3	98590000	98600000	3
ICE_iAMP_171	iAMP_10k	1	70220000	70230000	1
ICE_iAMP_1710	iAMP_10k	3	99820000	99830000	3
ICE_iAMP_1726	iAMP_10k	3	104590000	104600000	3
ICE_iAMP_1728	iAMP_10k	3	105690000	105700000	3
ICE_iAMP_1729	iAMP_10k	3	105860000	105870000	3
ICE_iAMP_173	iAMP_10k	1	70520000	70530000	1
ICE_iAMP_1741	iAMP_10k	3	77040000	77050000	3
ICE_iAMP_1758	iAMP_10k	3	87220000	87230000	3
ICE_iAMP_1763	iAMP_10k	3	88030000	88040000	3
ICE_iAMP_1764	iAMP_10k	3	88200000	88210000	3
ICE_iAMP_1771	iAMP_10k	3	130740000	130750000	3
ICE_iAMP_1772	iAMP_10k	3	130750000	130760000	3
ICE_iAMP_1779	iAMP_10k	3	132720000	132730000	3
ICE_iAMP_1780	iAMP_10k	3	132720000	132730000	3
ICE_iAMP_1781	iAMP_10k	3	132720000	132730000	3
ICE_iAMP_1783	iAMP_10k	3	132730000	132740000	3
ICE_iAMP_1793	iAMP_10k	3	134790000	134800000	3
ICE_iAMP_1794	iAMP_10k	3	134790000	134800000	3
ICE_iAMP_1795	iAMP_10k	3	134790000	134800000	3
ICE_iAMP_1799	iAMP_10k	3	136080000	136090000	3
ICE_iAMP_1803	iAMP_10k	3	138180000	138190000	3
ICE_iAMP_1806	iAMP_10k	3	138590000	138600000	3
ICE_iAMP_1807	iAMP_10k	3	138600000	138610000	3
ICE_iAMP_1810	iAMP_10k	3	138940000	138950000	3
ICE_iAMP_1811	iAMP_10k	3	138940000	138950000	3
ICE_iAMP_1814	iAMP_10k	3	139930000	139940000	3
ICE_iAMP_1824	iAMP_10k	3	141730000	141740000	3
ICE_iAMP_1839	iAMP_10k	3	112120000	112130000	3
ICE_iAMP_1842	iAMP_10k	3	112300000	112310000	3
ICE_iAMP_1844	iAMP_10k	3	112640000	112650000	3
ICE_iAMP_1849	iAMP_10k	3	113740000	113750000	3
ICE_iAMP_1860	iAMP_10k	3	116760000	116770000	3
ICE_iAMP_1880	iAMP_10k	3	122560000	122570000	3
ICE_iAMP_1894	iAMP_10k	3	126130000	126140000	3
ICE_iAMP_1896	iAMP_10k	3	126510000	126520000	3
ICE_iAMP_1897	iAMP_10k	3	126520000	126530000	3
ICE_iAMP_190	iAMP_10k	1	42330000	42340000	1
ICE_iAMP_1900	iAMP_10k	3	126980000	126990000	3
ICE_iAMP_191	iAMP_10k	1	42570000	42580000	1
ICE_iAMP_1911	iAMP_10k	3	169140000	169150000	3
ICE_iAMP_192	iAMP_10k	1	42780000	42790000	1
ICE_iAMP_1934	iAMP_10k	3	179330000	179340000	3
ICE_iAMP_1935	iAMP_10k	3	179430000	179440000	3
ICE_iAMP_195	iAMP_10k	1	43520000	43530000	1
ICE_iAMP_1950	iAMP_10k	3	149120000	149130000	3
ICE_iAMP_1976	iAMP_10k	3	154320000	154330000	3
ICE_iAMP_1991	iAMP_10k	3	156550000	156560000	3
ICE_iAMP_1992	iAMP_10k	3	156670000	156680000	3
ICE_iAMP_1993	iAMP_10k	3	156680000	156690000	3
ICE_iAMP_200	iAMP_10k	1	45010000	45020000	1
ICE_iAMP_2012	iAMP_10k	3	160440000	160450000	3
ICE_iAMP_2023	iAMP_10k	3	181710000	181720000	3
ICE_iAMP_2024	iAMP_10k	3	181710000	181720000	3
ICE_iAMP_2029	iAMP_10k	3	183890000	183900000	3
ICE_iAMP_203	iAMP_10k	1	46440000	46450000	1
ICE_iAMP_2030	iAMP_10k	3	184360000	184370000	3
ICE_iAMP_2031	iAMP_10k	3	184370000	184380000	3
ICE_iAMP_2032	iAMP_10k	3	184560000	184570000	3
ICE_iAMP_2035	iAMP_10k	3	185930000	185940000	3
ICE_iAMP_2037	iAMP_10k	3	185960000	185970000	3
ICE_iAMP_2039	iAMP_10k	3	186250000	186260000	3
ICE_iAMP_2041	iAMP_10k	3	186840000	186850000	3
ICE_iAMP_2047	iAMP_10k	3	187740000	187750000	3
ICE_iAMP_2057	iAMP_10k	3	190220000	190230000	3
ICE_iAMP_2058	iAMP_10k	3	190380000	190390000	3
ICE_iAMP_2075	iAMP_10k	3	194670000	194680000	3
ICE_iAMP_2076	iAMP_10k	3	194680000	194690000	3
ICE_iAMP_2079	iAMP_10k	4	240000	250000	4
