loopID	loopSource	chr1	start1	end1	chr2
ICE_TP_1	TP_10k	1	2200000	2210000	1
ICE_TP_10	TP_10k	1	6480000	6490000	1
ICE_TP_100	TP_10k	1	36090000	36100000	1
ICE_TP_1000	TP_10k	2	74690000	74700000	2
ICE_TP_1001	TP_10k	2	74910000	74920000	2
ICE_TP_1002	TP_10k	2	74920000	74930000	2
ICE_TP_1003	TP_10k	2	75060000	75070000	2
ICE_TP_1004	TP_10k	2	75460000	75470000	2
ICE_TP_1005	TP_10k	2	78350000	78360000	2
ICE_TP_1006	TP_10k	2	78350000	78360000	2
ICE_TP_1007	TP_10k	2	78670000	78680000	2
ICE_TP_1009	TP_10k	2	79030000	79040000	2
ICE_TP_101	TP_10k	1	36560000	36570000	1
ICE_TP_1010	TP_10k	2	79230000	79240000	2
ICE_TP_1011	TP_10k	2	79930000	79940000	2
ICE_TP_1012	TP_10k	2	80320000	80330000	2
ICE_TP_1013	TP_10k	2	84020000	84030000	2
ICE_TP_1014	TP_10k	2	84490000	84500000	2
ICE_TP_1015	TP_10k	2	84480000	84490000	2
ICE_TP_1016	TP_10k	2	84480000	84490000	2
ICE_TP_1017	TP_10k	2	84500000	84510000	2
ICE_TP_1018	TP_10k	2	85060000	85070000	2
ICE_TP_1019	TP_10k	2	85420000	85430000	2
ICE_TP_102	TP_10k	1	36560000	36570000	1
ICE_TP_1021	TP_10k	2	85730000	85740000	2
ICE_TP_1022	TP_10k	2	85730000	85740000	2
ICE_TP_1023	TP_10k	2	85820000	85830000	2
ICE_TP_1024	TP_10k	2	86540000	86550000	2
ICE_TP_1025	TP_10k	2	86610000	86620000	2
ICE_TP_1027	TP_10k	2	88040000	88050000	2
ICE_TP_1028	TP_10k	2	88190000	88200000	2
ICE_TP_1029	TP_10k	2	88440000	88450000	2
ICE_TP_103	TP_10k	1	37460000	37470000	1
ICE_TP_1030	TP_10k	2	88580000	88590000	2
ICE_TP_1031	TP_10k	2	88590000	88600000	2
ICE_TP_1034	TP_10k	2	97680000	97690000	2
ICE_TP_1035	TP_10k	2	97800000	97810000	2
ICE_TP_1036	TP_10k	2	98410000	98420000	2
ICE_TP_1037	TP_10k	2	98640000	98650000	2
ICE_TP_1038	TP_10k	2	99160000	99170000	2
ICE_TP_104	TP_10k	1	37580000	37590000	1
ICE_TP_1040	TP_10k	2	99550000	99560000	2
ICE_TP_1041	TP_10k	2	99560000	99570000	2
ICE_TP_1042	TP_10k	2	99560000	99570000	2
ICE_TP_1043	TP_10k	2	100050000	100060000	2
ICE_TP_1044	TP_10k	2	100260000	100270000	2
ICE_TP_1045	TP_10k	2	100600000	100610000	2
ICE_TP_1046	TP_10k	2	101010000	101020000	2
ICE_TP_1047	TP_10k	2	101010000	101020000	2
ICE_TP_1048	TP_10k	2	101020000	101030000	2
ICE_TP_1049	TP_10k	2	101340000	101350000	2
ICE_TP_105	TP_10k	1	37880000	37890000	1
ICE_TP_1050	TP_10k	2	101340000	101350000	2
ICE_TP_1051	TP_10k	2	101410000	101420000	2
ICE_TP_1052	TP_10k	2	101420000	101430000	2
ICE_TP_1053	TP_10k	2	101880000	101890000	2
ICE_TP_1054	TP_10k	2	102010000	102020000	2
ICE_TP_1055	TP_10k	2	102010000	102020000	2
ICE_TP_1056	TP_10k	2	102250000	102260000	2
ICE_TP_1058	TP_10k	2	103160000	103170000	2
ICE_TP_1059	TP_10k	2	104030000	104040000	2
ICE_TP_106	TP_10k	1	38020000	38030000	1
ICE_TP_1060	TP_10k	2	105110000	105120000	2
ICE_TP_1062	TP_10k	2	105360000	105370000	2
ICE_TP_1063	TP_10k	2	105360000	105370000	2
ICE_TP_1064	TP_10k	2	105360000	105370000	2
ICE_TP_1065	TP_10k	2	105560000	105570000	2
ICE_TP_1066	TP_10k	2	105560000	105570000	2
ICE_TP_1067	TP_10k	2	106630000	106640000	2
ICE_TP_1068	TP_10k	2	112740000	112750000	2
ICE_TP_1069	TP_10k	2	113710000	113720000	2
ICE_TP_107	TP_10k	1	38600000	38610000	1
ICE_TP_1070	TP_10k	2	118040000	118050000	2
ICE_TP_1071	TP_10k	2	118210000	118220000	2
ICE_TP_1072	TP_10k	2	118880000	118890000	2
ICE_TP_1073	TP_10k	2	118880000	118890000	2
ICE_TP_1074	TP_10k	2	119640000	119650000	2
ICE_TP_1075	TP_10k	2	119700000	119710000	2
ICE_TP_1076	TP_10k	2	119700000	119710000	2
ICE_TP_1079	TP_10k	2	120690000	120700000	2
ICE_TP_108	TP_10k	1	39100000	39110000	1
ICE_TP_1080	TP_10k	2	121400000	121410000	2
ICE_TP_1081	TP_10k	2	121530000	121540000	2
ICE_TP_1082	TP_10k	2	121970000	121980000	2
ICE_TP_1083	TP_10k	2	126520000	126530000	2
ICE_TP_1084	TP_10k	2	126520000	126530000	2
ICE_TP_1085	TP_10k	2	127060000	127070000	2
ICE_TP_1086	TP_10k	2	127320000	127330000	2
ICE_TP_1087	TP_10k	2	127870000	127880000	2
ICE_TP_1088	TP_10k	2	128170000	128180000	2
ICE_TP_109	TP_10k	1	39810000	39820000	1
ICE_TP_1091	TP_10k	2	128730000	128740000	2
ICE_TP_1093	TP_10k	2	132390000	132400000	2
ICE_TP_1094	TP_10k	2	133510000	133520000	2
ICE_TP_1095	TP_10k	2	133880000	133890000	2
ICE_TP_1096	TP_10k	2	133880000	133890000	2
ICE_TP_1097	TP_10k	2	134110000	134120000	2
ICE_TP_1098	TP_10k	2	134120000	134130000	2
ICE_TP_1099	TP_10k	2	134240000	134250000	2
ICE_TP_11	TP_10k	1	6720000	6730000	1
ICE_TP_110	TP_10k	1	40140000	40150000	1
ICE_TP_1100	TP_10k	2	134450000	134460000	2
ICE_TP_1101	TP_10k	2	134460000	134470000	2
ICE_TP_1102	TP_10k	2	134990000	135000000	2
ICE_TP_1103	TP_10k	2	135000000	135010000	2
ICE_TP_1104	TP_10k	2	135910000	135920000	2
ICE_TP_1105	TP_10k	2	135910000	135920000	2
ICE_TP_1107	TP_10k	2	135990000	136000000	2
ICE_TP_1108	TP_10k	2	136070000	136080000	2
ICE_TP_111	TP_10k	1	40610000	40620000	1
ICE_TP_1110	TP_10k	2	136120000	136130000	2
ICE_TP_1111	TP_10k	2	136160000	136170000	2
ICE_TP_1112	TP_10k	2	136210000	136220000	2
ICE_TP_1113	TP_10k	2	136420000	136430000	2
ICE_TP_1114	TP_10k	2	137860000	137870000	2
ICE_TP_1115	TP_10k	2	138920000	138930000	2
ICE_TP_1116	TP_10k	2	143030000	143040000	2
ICE_TP_1117	TP_10k	2	143110000	143120000	2
ICE_TP_1118	TP_10k	2	144410000	144420000	2
ICE_TP_1119	TP_10k	2	144510000	144520000	2
ICE_TP_112	TP_10k	1	41270000	41280000	1
ICE_TP_1121	TP_10k	2	146730000	146740000	2
ICE_TP_1122	TP_10k	2	146920000	146930000	2
ICE_TP_1123	TP_10k	2	147070000	147080000	2
ICE_TP_1124	TP_10k	2	147930000	147940000	2
ICE_TP_1125	TP_10k	2	147940000	147950000	2
ICE_TP_1126	TP_10k	2	147990000	148000000	2
ICE_TP_1127	TP_10k	2	148010000	148020000	2
ICE_TP_1128	TP_10k	2	149020000	149030000	2
ICE_TP_1130	TP_10k	2	149590000	149600000	2
ICE_TP_1132	TP_10k	2	149600000	149610000	2
ICE_TP_1133	TP_10k	2	149890000	149900000	2
ICE_TP_1134	TP_10k	2	151270000	151280000	2
ICE_TP_1136	TP_10k	2	151440000	151450000	2
ICE_TP_1137	TP_10k	2	151640000	151650000	2
ICE_TP_1139	TP_10k	2	152030000	152040000	2
ICE_TP_114	TP_10k	1	42580000	42590000	1
ICE_TP_1140	TP_10k	2	152030000	152040000	2
ICE_TP_1141	TP_10k	2	152030000	152040000	2
ICE_TP_1143	TP_10k	2	152180000	152190000	2
ICE_TP_1144	TP_10k	2	152180000	152190000	2
ICE_TP_1146	TP_10k	2	152740000	152750000	2
ICE_TP_1147	TP_10k	2	154400000	154410000	2
ICE_TP_1148	TP_10k	2	154620000	154630000	2
ICE_TP_1149	TP_10k	2	155370000	155380000	2
ICE_TP_1150	TP_10k	2	155370000	155380000	2
ICE_TP_1151	TP_10k	2	155370000	155380000	2
ICE_TP_1152	TP_10k	2	155370000	155380000	2
ICE_TP_1154	TP_10k	2	157300000	157310000	2
ICE_TP_1155	TP_10k	2	157310000	157320000	2
ICE_TP_1158	TP_10k	2	157490000	157500000	2
ICE_TP_1159	TP_10k	2	157480000	157490000	2
ICE_TP_116	TP_10k	1	42910000	42920000	1
ICE_TP_1160	TP_10k	2	157770000	157780000	2
ICE_TP_1161	TP_10k	2	157770000	157780000	2
ICE_TP_1162	TP_10k	2	158020000	158030000	2
ICE_TP_1164	TP_10k	2	158170000	158180000	2
ICE_TP_1166	TP_10k	2	160250000	160260000	2
ICE_TP_1167	TP_10k	2	160330000	160340000	2
ICE_TP_1168	TP_10k	2	161070000	161080000	2
ICE_TP_1169	TP_10k	2	161220000	161230000	2
ICE_TP_117	TP_10k	1	43220000	43230000	1
ICE_TP_1170	TP_10k	2	161220000	161230000	2
ICE_TP_1171	TP_10k	2	161240000	161250000	2
ICE_TP_1172	TP_10k	2	161580000	161590000	2
ICE_TP_1173	TP_10k	2	161580000	161590000	2
ICE_TP_1175	TP_10k	2	180120000	180130000	2
ICE_TP_1176	TP_10k	2	181070000	181080000	2
ICE_TP_1177	TP_10k	2	182180000	182190000	2
ICE_TP_1178	TP_10k	2	182180000	182190000	2
ICE_TP_1179	TP_10k	2	182660000	182670000	2
ICE_TP_118	TP_10k	1	43220000	43230000	1
ICE_TP_1180	TP_10k	2	186500000	186510000	2
ICE_TP_1181	TP_10k	2	186860000	186870000	2
ICE_TP_1182	TP_10k	2	186860000	186870000	2
ICE_TP_1183	TP_10k	2	186860000	186870000	2
ICE_TP_1184	TP_10k	2	186860000	186870000	2
ICE_TP_1185	TP_10k	2	187500000	187510000	2
ICE_TP_1186	TP_10k	2	187490000	187500000	2
ICE_TP_1187	TP_10k	2	187570000	187580000	2
ICE_TP_1188	TP_10k	2	187580000	187590000	2
ICE_TP_1189	TP_10k	2	188520000	188530000	2
ICE_TP_119	TP_10k	1	43520000	43530000	1
ICE_TP_1198	TP_10k	2	190090000	190100000	2
ICE_TP_1199	TP_10k	2	190520000	190530000	2
ICE_TP_12	TP_10k	1	6720000	6730000	1
ICE_TP_1200	TP_10k	2	190780000	190790000	2
ICE_TP_1201	TP_10k	2	190780000	190790000	2
ICE_TP_1202	TP_10k	2	191050000	191060000	2
ICE_TP_1203	TP_10k	2	191550000	191560000	2
ICE_TP_1204	TP_10k	2	191560000	191570000	2
ICE_TP_1205	TP_10k	2	191810000	191820000	2
ICE_TP_1206	TP_10k	2	194160000	194170000	2
ICE_TP_1207	TP_10k	2	194170000	194180000	2
ICE_TP_1208	TP_10k	2	195320000	195330000	2
ICE_TP_121	TP_10k	1	44720000	44730000	1
ICE_TP_1211	TP_10k	2	196070000	196080000	2
ICE_TP_1212	TP_10k	2	196080000	196090000	2
ICE_TP_1213	TP_10k	2	196080000	196090000	2
ICE_TP_1214	TP_10k	2	196160000	196170000	2
ICE_TP_1215	TP_10k	2	196290000	196300000	2
ICE_TP_1216	TP_10k	2	196290000	196300000	2
ICE_TP_1218	TP_10k	2	196770000	196780000	2
ICE_TP_1219	TP_10k	2	197010000	197020000	2
ICE_TP_1220	TP_10k	2	197110000	197120000	2
ICE_TP_1221	TP_10k	2	197150000	197160000	2
ICE_TP_1222	TP_10k	2	197190000	197200000	2
ICE_TP_1224	TP_10k	2	198310000	198320000	2
ICE_TP_1225	TP_10k	2	198310000	198320000	2
ICE_TP_1227	TP_10k	2	198310000	198320000	2
ICE_TP_1228	TP_10k	2	199700000	199710000	2
ICE_TP_1229	TP_10k	2	199970000	199980000	2
ICE_TP_1230	TP_10k	2	199960000	199970000	2
ICE_TP_1231	TP_10k	2	199970000	199980000	2
ICE_TP_1235	TP_10k	2	200900000	200910000	2
ICE_TP_1236	TP_10k	2	201230000	201240000	2
ICE_TP_1237	TP_10k	2	201240000	201250000	2
ICE_TP_1238	TP_10k	2	201660000	201670000	2
ICE_TP_1239	TP_10k	2	201790000	201800000	2
ICE_TP_1240	TP_10k	2	201850000	201860000	2
ICE_TP_1241	TP_10k	2	202570000	202580000	2
ICE_TP_1242	TP_10k	2	202580000	202590000	2
ICE_TP_1243	TP_10k	2	202580000	202590000	2
ICE_TP_1244	TP_10k	2	202580000	202590000	2
ICE_TP_1246	TP_10k	2	203480000	203490000	2
ICE_TP_1247	TP_10k	2	203480000	203490000	2
ICE_TP_1248	TP_10k	2	204020000	204030000	2
ICE_TP_1249	TP_10k	2	204120000	204130000	2
ICE_TP_125	TP_10k	1	45350000	45360000	1
ICE_TP_1250	TP_10k	2	204250000	204260000	2
ICE_TP_1251	TP_10k	2	204320000	204330000	2
ICE_TP_1252	TP_10k	2	204320000	204330000	2
