chr1	start1	end1	chr2	start2	end2
2	79020000	79030000	2	79880000	79890000
2	85630000	85640000	2	86100000	86110000
2	86620000	86630000	2	88020000	88030000
2	96300000	96310000	2	96530000	96540000
2	96850000	96860000	2	96950000	96960000
2	99480000	99490000	2	100560000	100570000
2	102470000	102480000	2	102600000	102610000
2	105340000	105350000	2	106190000	106200000
2	120340000	120350000	2	120670000	120680000
2	120340000	120350000	2	121070000	121080000
2	128310000	128320000	2	128730000	128740000
2	128310000	128320000	2	129910000	129920000
2	131030000	131040000	2	132400000	132410000
2	135920000	135930000	2	136110000	136120000
2	136110000	136120000	2	136370000	136380000
2	144520000	144530000	2	144690000	144700000
2	149580000	149590000	2	151430000	151440000
1	41570000	41580000	1	42160000	42170000
2	149600000	149610000	2	150480000	150490000
2	151270000	151280000	2	152710000	152720000
2	151820000	151830000	2	152710000	152720000
2	152170000	152180000	2	152710000	152720000
2	152330000	152340000	2	152620000	152630000
1	42780000	42790000	1	43070000	43080000
2	156330000	156340000	2	156410000	156420000
2	157320000	157330000	2	157480000	157490000
2	157320000	157330000	2	158000000	158010000
2	158030000	158040000	2	158450000	158460000
2	159610000	159620000	2	159710000	159720000
2	162150000	162160000	2	162290000	162300000
2	189440000	189450000	2	191010000	191020000
2	189660000	189670000	2	189770000	189780000
2	189660000	189670000	2	190070000	190080000
2	189660000	189670000	2	190520000	190530000
2	189660000	189670000	2	191020000	191030000
2	189790000	189800000	2	190060000	190070000
2	189770000	189780000	2	191010000	191020000
2	189780000	189790000	2	190880000	190890000
1	43530000	43540000	1	43930000	43940000
2	195660000	195670000	2	196060000	196070000
2	196060000	196070000	2	197780000	197790000
2	196290000	196300000	2	197780000	197790000
1	45010000	45020000	1	45300000	45310000
2	197800000	197810000	2	198290000	198300000
2	198310000	198320000	2	199850000	199860000
1	45010000	45020000	1	45490000	45500000
2	200510000	200520000	2	202250000	202260000
2	200580000	200590000	2	200700000	200710000
2	200900000	200910000	2	201070000	201080000
1	45010000	45020000	1	45570000	45580000
2	203230000	203240000	2	203810000	203820000
2	206770000	206780000	2	208250000	208260000
2	207530000	207540000	2	207710000	207720000
2	208260000	208270000	2	210170000	210180000
2	209420000	209430000	2	209560000	209570000
2	209420000	209430000	2	210190000	210200000
2	212770000	212780000	2	213150000	213160000
