loopID	loopSource	chr1	start1	end1	chr2
ICE_ER_10	ER_10k	1	3910000	3920000	1
ICE_ER_10001	ER_10k	17	12180000	12190000	17
ICE_ER_10003	ER_10k	17	12250000	12260000	17
ICE_ER_10012	ER_10k	17	15250000	15260000	17
ICE_ER_10018	ER_10k	17	17670000	17680000	17
ICE_ER_10019	ER_10k	17	17680000	17690000	17
ICE_ER_10022	ER_10k	17	38980000	38990000	17
ICE_ER_10023	ER_10k	17	40010000	40020000	17
ICE_ER_10024	ER_10k	17	40020000	40030000	17
ICE_ER_10025	ER_10k	17	40360000	40370000	17
ICE_ER_10030	ER_10k	17	40910000	40920000	17
ICE_ER_10031	ER_10k	17	41730000	41740000	17
ICE_ER_10034	ER_10k	17	43940000	43950000	17
ICE_ER_10035	ER_10k	17	43940000	43950000	17
ICE_ER_10036	ER_10k	17	44200000	44210000	17
ICE_ER_10043	ER_10k	17	48020000	48030000	17
ICE_ER_10044	ER_10k	17	48330000	48340000	17
ICE_ER_10049	ER_10k	17	49560000	49570000	17
ICE_ER_10050	ER_10k	17	49570000	49580000	17
ICE_ER_10051	ER_10k	17	49570000	49580000	17
ICE_ER_10052	ER_10k	17	49570000	49580000	17
ICE_ER_10053	ER_10k	17	49860000	49870000	17
ICE_ER_10055	ER_10k	17	50990000	51000000	17
ICE_ER_10063	ER_10k	17	55750000	55760000	17
ICE_ER_10065	ER_10k	17	56590000	56600000	17
ICE_ER_10068	ER_10k	17	57120000	57130000	17
ICE_ER_10069	ER_10k	17	57130000	57140000	17
ICE_ER_1007	ER_10k	2	1860000	1870000	2
ICE_ER_10071	ER_10k	17	57240000	57250000	17
ICE_ER_10072	ER_10k	17	57250000	57260000	17
ICE_ER_10073	ER_10k	17	57850000	57860000	17
ICE_ER_10076	ER_10k	17	58280000	58290000	17
ICE_ER_10085	ER_10k	17	60720000	60730000	17
ICE_ER_10093	ER_10k	17	62700000	62710000	17
ICE_ER_10094	ER_10k	17	63420000	63430000	17
ICE_ER_10095	ER_10k	17	64030000	64040000	17
ICE_ER_10107	ER_10k	17	67370000	67380000	17
ICE_ER_10108	ER_10k	17	67370000	67380000	17
ICE_ER_10109	ER_10k	17	67370000	67380000	17
ICE_ER_10114	ER_10k	17	68050000	68060000	17
ICE_ER_10116	ER_10k	17	68240000	68250000	17
ICE_ER_10131	ER_10k	17	72980000	72990000	17
ICE_ER_10134	ER_10k	17	73430000	73440000	17
ICE_ER_10137	ER_10k	17	21120000	21130000	17
ICE_ER_10144	ER_10k	17	29580000	29590000	17
ICE_ER_10146	ER_10k	17	29630000	29640000	17
ICE_ER_10151	ER_10k	17	30120000	30130000	17
ICE_ER_10161	ER_10k	17	34200000	34210000	17
ICE_ER_10162	ER_10k	17	34420000	34430000	17
ICE_ER_10163	ER_10k	17	34410000	34420000	17
ICE_ER_10165	ER_10k	17	34540000	34550000	17
ICE_ER_10167	ER_10k	17	35160000	35170000	17
ICE_ER_10169	ER_10k	17	35310000	35320000	17
ICE_ER_10171	ER_10k	17	36620000	36630000	17
ICE_ER_10180	ER_10k	17	74200000	74210000	17
ICE_ER_10181	ER_10k	17	74210000	74220000	17
ICE_ER_10182	ER_10k	17	74210000	74220000	17
ICE_ER_10183	ER_10k	17	74370000	74380000	17
ICE_ER_10185	ER_10k	17	75310000	75320000	17
ICE_ER_10186	ER_10k	17	75630000	75640000	17
ICE_ER_10187	ER_10k	17	75780000	75790000	17
ICE_ER_10192	ER_10k	17	76860000	76870000	17
ICE_ER_10200	ER_10k	17	78860000	78870000	17
ICE_ER_1021	ER_10k	2	5690000	5700000	2
ICE_ER_1022	ER_10k	2	5690000	5700000	2
ICE_ER_10224	ER_10k	18	2570000	2580000	18
ICE_ER_10225	ER_10k	18	2770000	2780000	18
ICE_ER_10230	ER_10k	18	2930000	2940000	18
ICE_ER_10231	ER_10k	18	2990000	3000000	18
ICE_ER_10233	ER_10k	18	3280000	3290000	18
ICE_ER_10238	ER_10k	18	3450000	3460000	18
ICE_ER_10244	ER_10k	18	5290000	5300000	18
ICE_ER_10259	ER_10k	18	9960000	9970000	18
ICE_ER_10273	ER_10k	18	13210000	13220000	18
ICE_ER_10280	ER_10k	18	42110000	42120000	18
ICE_ER_10281	ER_10k	18	42290000	42300000	18
ICE_ER_10284	ER_10k	18	42590000	42600000	18
ICE_ER_10290	ER_10k	18	44680000	44690000	18
ICE_ER_10293	ER_10k	18	45670000	45680000	18
ICE_ER_10294	ER_10k	18	45930000	45940000	18
ICE_ER_10295	ER_10k	18	46150000	46160000	18
ICE_ER_103	ER_10k	1	44720000	44730000	1
ICE_ER_1031	ER_10k	2	7720000	7730000	2
ICE_ER_10315	ER_10k	18	49480000	49490000	18
ICE_ER_10319	ER_10k	18	50820000	50830000	18
ICE_ER_10331	ER_10k	18	52340000	52350000	18
ICE_ER_10343	ER_10k	18	55580000	55590000	18
ICE_ER_10350	ER_10k	18	57620000	57630000	18
ICE_ER_10351	ER_10k	18	57630000	57640000	18
ICE_ER_10354	ER_10k	18	58040000	58050000	18
ICE_ER_10355	ER_10k	18	58040000	58050000	18
ICE_ER_10361	ER_10k	18	58530000	58540000	18
ICE_ER_1037	ER_10k	2	9810000	9820000	2
ICE_ER_10381	ER_10k	18	61330000	61340000	18
ICE_ER_10384	ER_10k	18	61630000	61640000	18
ICE_ER_10387	ER_10k	18	62180000	62190000	18
ICE_ER_10388	ER_10k	18	62180000	62190000	18
ICE_ER_10389	ER_10k	18	62180000	62190000	18
ICE_ER_10393	ER_10k	18	62710000	62720000	18
ICE_ER_10394	ER_10k	18	62710000	62720000	18
ICE_ER_10397	ER_10k	18	63130000	63140000	18
ICE_ER_10399	ER_10k	18	64030000	64040000	18
ICE_ER_104	ER_10k	1	44790000	44800000	1
ICE_ER_10400	ER_10k	18	64110000	64120000	18
ICE_ER_10404	ER_10k	18	67220000	67230000	18
ICE_ER_10405	ER_10k	18	67510000	67520000	18
ICE_ER_10407	ER_10k	18	68700000	68710000	18
ICE_ER_10408	ER_10k	18	68710000	68720000	18
ICE_ER_10413	ER_10k	18	70200000	70210000	18
ICE_ER_10417	ER_10k	18	72860000	72870000	18
ICE_ER_10427	ER_10k	18	23130000	23140000	18
ICE_ER_1043	ER_10k	2	10440000	10450000	2
ICE_ER_1044	ER_10k	2	10810000	10820000	2
ICE_ER_1048	ER_10k	2	11130000	11140000	2
