loopID	loopSource	chr1	start1	end1	chr2
ICE_KMT2A_100	KMT2Ar_10k	1	52130000	52140000	1
ICE_KMT2A_1000	KMT2Ar_10k	2	134110000	134120000	2
ICE_KMT2A_1001	KMT2Ar_10k	2	134120000	134130000	2
ICE_KMT2A_1005	KMT2Ar_10k	2	135000000	135010000	2
ICE_KMT2A_1007	KMT2Ar_10k	2	135910000	135920000	2
ICE_KMT2A_1008	KMT2Ar_10k	2	135920000	135930000	2
ICE_KMT2A_1010	KMT2Ar_10k	2	136110000	136120000	2
ICE_KMT2A_1019	KMT2Ar_10k	2	143090000	143100000	2
ICE_KMT2A_102	KMT2Ar_10k	1	53270000	53280000	1
ICE_KMT2A_1020	KMT2Ar_10k	2	144510000	144520000	2
ICE_KMT2A_1021	KMT2Ar_10k	2	144510000	144520000	2
ICE_KMT2A_1025	KMT2Ar_10k	2	147930000	147940000	2
ICE_KMT2A_1026	KMT2Ar_10k	2	147940000	147950000	2
ICE_KMT2A_1028	KMT2Ar_10k	2	147990000	148000000	2
ICE_KMT2A_1029	KMT2Ar_10k	2	148540000	148550000	2
ICE_KMT2A_1032	KMT2Ar_10k	2	149590000	149600000	2
ICE_KMT2A_1035	KMT2Ar_10k	2	151270000	151280000	2
ICE_KMT2A_104	KMT2Ar_10k	1	53480000	53490000	1
ICE_KMT2A_1042	KMT2Ar_10k	2	152040000	152050000	2
ICE_KMT2A_1051	KMT2Ar_10k	2	156330000	156340000	2
ICE_KMT2A_1053	KMT2Ar_10k	2	157300000	157310000	2
ICE_KMT2A_1054	KMT2Ar_10k	2	157300000	157310000	2
ICE_KMT2A_1055	KMT2Ar_10k	2	157320000	157330000	2
ICE_KMT2A_1056	KMT2Ar_10k	2	157500000	157510000	2
ICE_KMT2A_1059	KMT2Ar_10k	2	157770000	157780000	2
ICE_KMT2A_106	KMT2Ar_10k	1	53860000	53870000	1
ICE_KMT2A_1061	KMT2Ar_10k	2	158020000	158030000	2
ICE_KMT2A_1065	KMT2Ar_10k	2	160110000	160120000	2
ICE_KMT2A_1066	KMT2Ar_10k	2	160110000	160120000	2
ICE_KMT2A_1067	KMT2Ar_10k	2	160250000	160260000	2
ICE_KMT2A_1069	KMT2Ar_10k	2	161230000	161240000	2
ICE_KMT2A_107	KMT2Ar_10k	1	54060000	54070000	1
ICE_KMT2A_1070	KMT2Ar_10k	2	161230000	161240000	2
ICE_KMT2A_1074	KMT2Ar_10k	2	162150000	162160000	2
ICE_KMT2A_1075	KMT2Ar_10k	2	181060000	181070000	2
ICE_KMT2A_1081	KMT2Ar_10k	2	186500000	186510000	2
ICE_KMT2A_1082	KMT2Ar_10k	2	186500000	186510000	2
ICE_KMT2A_1085	KMT2Ar_10k	2	187130000	187140000	2
ICE_KMT2A_1086	KMT2Ar_10k	2	187490000	187500000	2
ICE_KMT2A_1090	KMT2Ar_10k	2	188520000	188530000	2
ICE_KMT2A_1092	KMT2Ar_10k	2	189660000	189670000	2
ICE_KMT2A_1093	KMT2Ar_10k	2	189780000	189790000	2
ICE_KMT2A_1094	KMT2Ar_10k	2	190080000	190090000	2
ICE_KMT2A_1095	KMT2Ar_10k	2	190520000	190530000	2
ICE_KMT2A_1096	KMT2Ar_10k	2	190780000	190790000	2
ICE_KMT2A_1105	KMT2Ar_10k	2	195660000	195670000	2
ICE_KMT2A_1108	KMT2Ar_10k	2	196080000	196090000	2
ICE_KMT2A_1111	KMT2Ar_10k	2	196290000	196300000	2
ICE_KMT2A_1113	KMT2Ar_10k	2	196780000	196790000	2
ICE_KMT2A_1115	KMT2Ar_10k	2	197190000	197200000	2
ICE_KMT2A_1117	KMT2Ar_10k	2	197800000	197810000	2
ICE_KMT2A_1118	KMT2Ar_10k	2	197800000	197810000	2
ICE_KMT2A_1126	KMT2Ar_10k	2	200580000	200590000	2
ICE_KMT2A_1128	KMT2Ar_10k	2	201230000	201240000	2
ICE_KMT2A_1131	KMT2Ar_10k	2	201790000	201800000	2
ICE_KMT2A_1132	KMT2Ar_10k	2	201850000	201860000	2
ICE_KMT2A_1135	KMT2Ar_10k	2	202580000	202590000	2
ICE_KMT2A_1148	KMT2Ar_10k	2	207750000	207760000	2
ICE_KMT2A_1151	KMT2Ar_10k	2	208460000	208470000	2
ICE_KMT2A_1153	KMT2Ar_10k	2	209330000	209340000	2
ICE_KMT2A_1154	KMT2Ar_10k	2	209330000	209340000	2
ICE_KMT2A_1155	KMT2Ar_10k	2	209420000	209430000	2
ICE_KMT2A_1158	KMT2Ar_10k	2	210440000	210450000	2
ICE_KMT2A_1159	KMT2Ar_10k	2	210440000	210450000	2
ICE_KMT2A_1165	KMT2Ar_10k	2	212680000	212690000	2
