loopID	loopSource	chr1	start1	end1	chr2
ICE_DUX4r_1	DUX4r_10k	1	2420000	2430000	1
ICE_DUX4r_100	DUX4r_10k	1	29230000	29240000	1
ICE_DUX4r_1004	DUX4r_10k	2	64650000	64660000	2
ICE_DUX4r_1011	DUX4r_10k	2	66430000	66440000	2
ICE_DUX4r_102	DUX4r_10k	1	30720000	30730000	1
ICE_DUX4r_1022	DUX4r_10k	2	69720000	69730000	2
ICE_DUX4r_1023	DUX4r_10k	2	69900000	69910000	2
ICE_DUX4r_1024	DUX4r_10k	2	69900000	69910000	2
ICE_DUX4r_1025	DUX4r_10k	2	69910000	69920000	2
ICE_DUX4r_1029	DUX4r_10k	2	70310000	70320000	2
ICE_DUX4r_1031	DUX4r_10k	2	70860000	70870000	2
ICE_DUX4r_1037	DUX4r_10k	2	71540000	71550000	2
ICE_DUX4r_104	DUX4r_10k	1	31660000	31670000	1
ICE_DUX4r_1046	DUX4r_10k	2	72990000	73000000	2
ICE_DUX4r_1047	DUX4r_10k	2	73080000	73090000	2
ICE_DUX4r_1048	DUX4r_10k	2	96850000	96860000	2
ICE_DUX4r_1050	DUX4r_10k	2	98410000	98420000	2
ICE_DUX4r_1056	DUX4r_10k	2	100420000	100430000	2
ICE_DUX4r_1057	DUX4r_10k	2	100600000	100610000	2
ICE_DUX4r_1058	DUX4r_10k	2	100730000	100740000	2
ICE_DUX4r_1059	DUX4r_10k	2	101020000	101030000	2
ICE_DUX4r_1061	DUX4r_10k	2	101020000	101030000	2
ICE_DUX4r_1062	DUX4r_10k	2	101340000	101350000	2
ICE_DUX4r_1064	DUX4r_10k	2	101410000	101420000	2
ICE_DUX4r_1073	DUX4r_10k	2	104030000	104040000	2
ICE_DUX4r_1076	DUX4r_10k	2	105330000	105340000	2
ICE_DUX4r_1079	DUX4r_10k	2	105360000	105370000	2
ICE_DUX4r_1080	DUX4r_10k	2	105570000	105580000	2
ICE_DUX4r_1082	DUX4r_10k	2	106630000	106640000	2
ICE_DUX4r_1083	DUX4r_10k	2	107570000	107580000	2
ICE_DUX4r_1084	DUX4r_10k	2	74480000	74490000	2
ICE_DUX4r_1098	DUX4r_10k	2	80320000	80330000	2
ICE_DUX4r_110	DUX4r_10k	1	34780000	34790000	1
ICE_DUX4r_1102	DUX4r_10k	2	85420000	85430000	2
ICE_DUX4r_1103	DUX4r_10k	2	85640000	85650000	2
ICE_DUX4r_1108	DUX4r_10k	2	88040000	88050000	2
ICE_DUX4r_1112	DUX4r_10k	2	88580000	88590000	2
