loopID	loopSource	chr1	start1	end1	chr2
ICE_HeH_1	HeH_10k	1	19910000	19920000	1
ICE_HeH_10	HeH_10k	1	21230000	21240000	1
ICE_HeH_100	HeH_10k	1	7660000	7670000	1
ICE_HeH_10000	HeH_10k	20	57360000	57370000	20
ICE_HeH_10001	HeH_10k	20	57370000	57380000	20
ICE_HeH_10004	HeH_10k	20	57510000	57520000	20
ICE_HeH_10005	HeH_10k	20	57590000	57600000	20
ICE_HeH_10006	HeH_10k	20	57650000	57660000	20
ICE_HeH_10008	HeH_10k	20	58230000	58240000	20
ICE_HeH_10010	HeH_10k	20	58860000	58870000	20
ICE_HeH_10011	HeH_10k	20	58870000	58880000	20
ICE_HeH_10012	HeH_10k	20	58870000	58880000	20
ICE_HeH_10013	HeH_10k	20	59080000	59090000	20
ICE_HeH_10014	HeH_10k	20	59080000	59090000	20
ICE_HeH_10015	HeH_10k	20	59220000	59230000	20
ICE_HeH_10016	HeH_10k	20	59590000	59600000	20
ICE_HeH_10019	HeH_10k	20	60050000	60060000	20
ICE_HeH_1002	HeH_10k	2	9800000	9810000	2
ICE_HeH_10020	HeH_10k	20	60210000	60220000	20
ICE_HeH_10022	HeH_10k	20	60210000	60220000	20
ICE_HeH_10023	HeH_10k	20	62010000	62020000	20
ICE_HeH_10024	HeH_10k	20	62010000	62020000	20
ICE_HeH_1003	HeH_10k	2	9810000	9820000	2
ICE_HeH_10032	HeH_10k	20	63050000	63060000	20
ICE_HeH_10034	HeH_10k	21	14250000	14260000	21
ICE_HeH_10035	HeH_10k	21	14410000	14420000	21
ICE_HeH_10036	HeH_10k	21	14400000	14410000	21
ICE_HeH_10037	HeH_10k	21	14400000	14410000	21
ICE_HeH_10038	HeH_10k	21	14860000	14870000	21
ICE_HeH_10039	HeH_10k	21	14870000	14880000	21
ICE_HeH_1004	HeH_10k	2	10130000	10140000	2
ICE_HeH_10040	HeH_10k	21	15050000	15060000	21
ICE_HeH_10041	HeH_10k	21	16080000	16090000	21
ICE_HeH_10042	HeH_10k	21	17670000	17680000	21
ICE_HeH_10043	HeH_10k	21	18380000	18390000	21
ICE_HeH_10045	HeH_10k	21	19320000	19330000	21
ICE_HeH_10046	HeH_10k	21	21000000	21010000	21
ICE_HeH_10047	HeH_10k	21	21160000	21170000	21
ICE_HeH_10048	HeH_10k	21	21230000	21240000	21
ICE_HeH_10049	HeH_10k	21	22570000	22580000	21
ICE_HeH_1005	HeH_10k	2	10070000	10080000	2
ICE_HeH_10050	HeH_10k	21	22570000	22580000	21
ICE_HeH_10051	HeH_10k	21	22570000	22580000	21
ICE_HeH_10052	HeH_10k	21	22790000	22800000	21
ICE_HeH_10053	HeH_10k	21	22790000	22800000	21
ICE_HeH_10054	HeH_10k	21	22800000	22810000	21
ICE_HeH_10055	HeH_10k	21	22800000	22810000	21
ICE_HeH_10056	HeH_10k	21	22800000	22810000	21
ICE_HeH_10057	HeH_10k	21	23840000	23850000	21
ICE_HeH_10058	HeH_10k	21	23860000	23870000	21
ICE_HeH_10059	HeH_10k	21	23850000	23860000	21
ICE_HeH_1006	HeH_10k	2	10260000	10270000	2
ICE_HeH_10060	HeH_10k	21	23850000	23860000	21
ICE_HeH_10061	HeH_10k	21	23980000	23990000	21
ICE_HeH_10062	HeH_10k	21	24090000	24100000	21
ICE_HeH_10063	HeH_10k	21	24890000	24900000	21
ICE_HeH_10064	HeH_10k	21	24890000	24900000	21
ICE_HeH_10065	HeH_10k	21	25420000	25430000	21
ICE_HeH_10066	HeH_10k	21	25420000	25430000	21
ICE_HeH_10067	HeH_10k	21	25420000	25430000	21
ICE_HeH_10068	HeH_10k	21	25610000	25620000	21
ICE_HeH_1007	HeH_10k	2	10270000	10280000	2
ICE_HeH_10070	HeH_10k	21	25610000	25620000	21
ICE_HeH_10071	HeH_10k	21	25610000	25620000	21
ICE_HeH_10072	HeH_10k	21	25700000	25710000	21
ICE_HeH_10073	HeH_10k	21	25780000	25790000	21
ICE_HeH_10074	HeH_10k	21	25880000	25890000	21
ICE_HeH_10075	HeH_10k	21	25890000	25900000	21
ICE_HeH_10076	HeH_10k	21	25900000	25910000	21
ICE_HeH_10078	HeH_10k	21	26850000	26860000	21
ICE_HeH_10079	HeH_10k	21	26850000	26860000	21
ICE_HeH_10080	HeH_10k	21	27700000	27710000	21
ICE_HeH_10081	HeH_10k	21	28510000	28520000	21
ICE_HeH_10082	HeH_10k	21	29080000	29090000	21
ICE_HeH_10083	HeH_10k	21	29090000	29100000	21
ICE_HeH_10084	HeH_10k	21	29160000	29170000	21
ICE_HeH_10085	HeH_10k	21	29160000	29170000	21
ICE_HeH_10086	HeH_10k	21	29230000	29240000	21
ICE_HeH_10087	HeH_10k	21	29230000	29240000	21
ICE_HeH_10088	HeH_10k	21	29370000	29380000	21
ICE_HeH_10089	HeH_10k	21	29470000	29480000	21
ICE_HeH_1009	HeH_10k	2	10820000	10830000	2
ICE_HeH_10090	HeH_10k	21	29470000	29480000	21
ICE_HeH_10091	HeH_10k	21	30040000	30050000	21
ICE_HeH_10092	HeH_10k	21	30040000	30050000	21
ICE_HeH_10097	HeH_10k	21	30830000	30840000	21
ICE_HeH_10098	HeH_10k	21	31100000	31110000	21
ICE_HeH_10099	HeH_10k	21	31100000	31110000	21
ICE_HeH_101	HeH_10k	1	7670000	7680000	1
ICE_HeH_1010	HeH_10k	2	10830000	10840000	2
ICE_HeH_10100	HeH_10k	21	31100000	31110000	21
ICE_HeH_10101	HeH_10k	21	31200000	31210000	21
ICE_HeH_10102	HeH_10k	21	31200000	31210000	21
ICE_HeH_10103	HeH_10k	21	31610000	31620000	21
ICE_HeH_10104	HeH_10k	21	31860000	31870000	21
ICE_HeH_10105	HeH_10k	21	32400000	32410000	21
ICE_HeH_10106	HeH_10k	21	32650000	32660000	21
ICE_HeH_10107	HeH_10k	21	32830000	32840000	21
ICE_HeH_10108	HeH_10k	21	32830000	32840000	21
ICE_HeH_10109	HeH_10k	21	32830000	32840000	21
ICE_HeH_10110	HeH_10k	21	32930000	32940000	21
ICE_HeH_10111	HeH_10k	21	33200000	33210000	21
ICE_HeH_10112	HeH_10k	21	33920000	33930000	21
ICE_HeH_10114	HeH_10k	21	34690000	34700000	21
ICE_HeH_10115	HeH_10k	21	34740000	34750000	21
ICE_HeH_10116	HeH_10k	21	34880000	34890000	21
ICE_HeH_10117	HeH_10k	21	34890000	34900000	21
ICE_HeH_10118	HeH_10k	21	35050000	35060000	21
ICE_HeH_10119	HeH_10k	21	36140000	36150000	21
