loopID	loopSource	chr1	start1	end1	chr2
ICE_BA_1	BA_10k	1	37590000	37600000	1
ICE_BA_1000	BA_10k	2	147930000	147940000	2
ICE_BA_1001	BA_10k	2	147930000	147940000	2
ICE_BA_1002	BA_10k	2	147980000	147990000	2
ICE_BA_1006	BA_10k	2	149590000	149600000	2
ICE_BA_1009	BA_10k	2	151280000	151290000	2
ICE_BA_1010	BA_10k	2	151280000	151290000	2
ICE_BA_1012	BA_10k	2	151820000	151830000	2
ICE_BA_1015	BA_10k	2	152030000	152040000	2
ICE_BA_1016	BA_10k	2	152170000	152180000	2
ICE_BA_1021	BA_10k	2	156330000	156340000	2
ICE_BA_1022	BA_10k	2	157300000	157310000	2
ICE_BA_1025	BA_10k	2	157320000	157330000	2
ICE_BA_1026	BA_10k	2	157770000	157780000	2
ICE_BA_1028	BA_10k	2	158020000	158030000	2
ICE_BA_1032	BA_10k	2	160250000	160260000	2
ICE_BA_1034	BA_10k	2	161220000	161230000	2
ICE_BA_1035	BA_10k	2	161220000	161230000	2
ICE_BA_1038	BA_10k	2	199960000	199970000	2
ICE_BA_1041	BA_10k	2	200580000	200590000	2
ICE_BA_1050	BA_10k	2	202590000	202600000	2
ICE_BA_1058	BA_10k	2	205760000	205770000	2
ICE_BA_1059	BA_10k	2	206150000	206160000	2
ICE_BA_1060	BA_10k	2	206160000	206170000	2
ICE_BA_1067	BA_10k	2	207750000	207760000	2
ICE_BA_1068	BA_10k	2	208250000	208260000	2
ICE_BA_1069	BA_10k	2	208380000	208390000	2
ICE_BA_107	BA_10k	1	70130000	70140000	1
ICE_BA_1071	BA_10k	2	208390000	208400000	2
ICE_BA_1073	BA_10k	2	209420000	209430000	2
ICE_BA_1074	BA_10k	2	209420000	209430000	2
ICE_BA_1076	BA_10k	2	210440000	210450000	2
ICE_BA_108	BA_10k	1	70130000	70140000	1
ICE_BA_1080	BA_10k	2	212680000	212690000	2
ICE_BA_1082	BA_10k	2	212770000	212780000	2
ICE_BA_1088	BA_10k	2	216520000	216530000	2
ICE_BA_1089	BA_10k	2	216520000	216530000	2
ICE_BA_109	BA_10k	1	70220000	70230000	1
ICE_BA_1091	BA_10k	2	216690000	216700000	2
ICE_BA_1092	BA_10k	2	216690000	216700000	2
ICE_BA_1093	BA_10k	2	217790000	217800000	2
ICE_BA_110	BA_10k	1	70330000	70340000	1
ICE_BA_1101	BA_10k	2	164730000	164740000	2
ICE_BA_1102	BA_10k	2	165000000	165010000	2
ICE_BA_1103	BA_10k	2	164990000	165000000	2
ICE_BA_1104	BA_10k	2	165000000	165010000	2
ICE_BA_1105	BA_10k	2	165010000	165020000	2
ICE_BA_1106	BA_10k	2	165400000	165410000	2
ICE_BA_1107	BA_10k	2	166530000	166540000	2
ICE_BA_1109	BA_10k	2	168130000	168140000	2
ICE_BA_1111	BA_10k	2	168160000	168170000	2
ICE_BA_1113	BA_10k	2	168340000	168350000	2
ICE_BA_1115	BA_10k	2	168960000	168970000	2
ICE_BA_1117	BA_10k	2	169450000	169460000	2
ICE_BA_1118	BA_10k	2	169450000	169460000	2
ICE_BA_1119	BA_10k	2	169530000	169540000	2
ICE_BA_112	BA_10k	1	1950000	1960000	1
ICE_BA_1120	BA_10k	2	169530000	169540000	2
ICE_BA_1121	BA_10k	2	169930000	169940000	2
ICE_BA_1122	BA_10k	2	170230000	170240000	2
ICE_BA_1123	BA_10k	2	170820000	170830000	2
ICE_BA_1126	BA_10k	2	170970000	170980000	2
ICE_BA_1127	BA_10k	2	171160000	171170000	2
ICE_BA_1129	BA_10k	2	171700000	171710000	2
ICE_BA_113	BA_10k	1	2190000	2200000	1
ICE_BA_1130	BA_10k	2	171700000	171710000	2
ICE_BA_1132	BA_10k	2	172170000	172180000	2
ICE_BA_1135	BA_10k	2	172800000	172810000	2
ICE_BA_1136	BA_10k	2	173020000	173030000	2
ICE_BA_1137	BA_10k	2	173020000	173030000	2
ICE_BA_114	BA_10k	1	2420000	2430000	1
ICE_BA_1141	BA_10k	2	173750000	173760000	2
ICE_BA_1142	BA_10k	2	174330000	174340000	2
ICE_BA_1144	BA_10k	2	174460000	174470000	2
ICE_BA_1145	BA_10k	2	174580000	174590000	2
ICE_BA_1146	BA_10k	2	174710000	174720000	2
ICE_BA_1147	BA_10k	2	175030000	175040000	2
ICE_BA_1148	BA_10k	2	175190000	175200000	2
ICE_BA_1149	BA_10k	2	175360000	175370000	2
ICE_BA_115	BA_10k	1	2420000	2430000	1
ICE_BA_1151	BA_10k	2	175680000	175690000	2
ICE_BA_1152	BA_10k	2	176070000	176080000	2
ICE_BA_1153	BA_10k	2	176120000	176130000	2
ICE_BA_1154	BA_10k	2	176120000	176130000	2
ICE_BA_1155	BA_10k	2	176120000	176130000	2
ICE_BA_1156	BA_10k	2	176120000	176130000	2
ICE_BA_1157	BA_10k	2	176130000	176140000	2
ICE_BA_1158	BA_10k	2	176130000	176140000	2
ICE_BA_1162	BA_10k	2	177330000	177340000	2
ICE_BA_1163	BA_10k	2	178110000	178120000	2
ICE_BA_1164	BA_10k	2	178110000	178120000	2
ICE_BA_117	BA_10k	1	3450000	3460000	1
ICE_BA_1170	BA_10k	2	178880000	178890000	2
ICE_BA_1171	BA_10k	2	180120000	180130000	2
ICE_BA_1174	BA_10k	2	181080000	181090000	2
ICE_BA_1176	BA_10k	2	181300000	181310000	2
ICE_BA_1177	BA_10k	2	217780000	217790000	2
ICE_BA_1178	BA_10k	2	218160000	218170000	2
ICE_BA_1179	BA_10k	2	218270000	218280000	2
ICE_BA_118	BA_10k	1	3480000	3490000	1
ICE_BA_1180	BA_10k	2	218290000	218300000	2
ICE_BA_1181	BA_10k	2	218400000	218410000	2
ICE_BA_1183	BA_10k	2	219160000	219170000	2
ICE_BA_1184	BA_10k	2	219160000	219170000	2
ICE_BA_1185	BA_10k	2	219730000	219740000	2
ICE_BA_1187	BA_10k	2	220680000	220690000	2
ICE_BA_1188	BA_10k	2	222050000	222060000	2
ICE_BA_1190	BA_10k	2	222700000	222710000	2
ICE_BA_1195	BA_10k	2	223980000	223990000	2
ICE_BA_1196	BA_10k	2	223980000	223990000	2
ICE_BA_1197	BA_10k	2	223980000	223990000	2
ICE_BA_12	BA_10k	1	41510000	41520000	1
ICE_BA_1203	BA_10k	2	224790000	224800000	2
ICE_BA_1211	BA_10k	2	226030000	226040000	2
ICE_BA_1214	BA_10k	2	227130000	227140000	2
ICE_BA_1215	BA_10k	2	227360000	227370000	2
ICE_BA_1218	BA_10k	2	227880000	227890000	2
ICE_BA_1219	BA_10k	2	227890000	227900000	2
ICE_BA_1221	BA_10k	2	229790000	229800000	2
ICE_BA_1222	BA_10k	2	229790000	229800000	2
ICE_BA_1225	BA_10k	2	230060000	230070000	2
ICE_BA_1228	BA_10k	2	231220000	231230000	2
ICE_BA_1229	BA_10k	2	231610000	231620000	2
ICE_BA_1231	BA_10k	2	231910000	231920000	2
ICE_BA_1232	BA_10k	2	232600000	232610000	2
ICE_BA_1233	BA_10k	2	232840000	232850000	2
ICE_BA_1234	BA_10k	2	233270000	233280000	2
ICE_BA_1236	BA_10k	2	233980000	233990000	2
ICE_BA_1239	BA_10k	2	234280000	234290000	2
ICE_BA_1247	BA_10k	2	235770000	235780000	2
