loopID	loopSource	chr1	start1	end1	chr2
ICE_nHap_10	nearHaploid_10k	1	5510000	5520000	1
ICE_nHap_100	nearHaploid_10k	1	39110000	39120000	1
ICE_nHap_1000	nearHaploid_10k	2	236180000	236190000	2
ICE_nHap_1002	nearHaploid_10k	2	236510000	236520000	2
ICE_nHap_1009	nearHaploid_10k	2	238360000	238370000	2
ICE_nHap_101	nearHaploid_10k	1	39810000	39820000	1
ICE_nHap_1018	nearHaploid_10k	3	38510000	38520000	3
ICE_nHap_1022	nearHaploid_10k	3	39440000	39450000	3
ICE_nHap_1023	nearHaploid_10k	3	39720000	39730000	3
ICE_nHap_1024	nearHaploid_10k	3	40320000	40330000	3
ICE_nHap_1025	nearHaploid_10k	3	40320000	40330000	3
ICE_nHap_1026	nearHaploid_10k	3	40330000	40340000	3
ICE_nHap_1027	nearHaploid_10k	3	40580000	40590000	3
ICE_nHap_1028	nearHaploid_10k	3	40580000	40590000	3
ICE_nHap_1029	nearHaploid_10k	3	41890000	41900000	3
ICE_nHap_103	nearHaploid_10k	1	40600000	40610000	1
ICE_nHap_1030	nearHaploid_10k	3	41890000	41900000	3
ICE_nHap_1031	nearHaploid_10k	3	41890000	41900000	3
ICE_nHap_1032	nearHaploid_10k	3	41890000	41900000	3
ICE_nHap_1033	nearHaploid_10k	3	42110000	42120000	3
ICE_nHap_1034	nearHaploid_10k	3	42240000	42250000	3
ICE_nHap_1035	nearHaploid_10k	3	42240000	42250000	3
ICE_nHap_1036	nearHaploid_10k	3	43230000	43240000	3
ICE_nHap_1037	nearHaploid_10k	3	43540000	43550000	3
ICE_nHap_104	nearHaploid_10k	1	40610000	40620000	1
ICE_nHap_1042	nearHaploid_10k	3	45040000	45050000	3
ICE_nHap_1047	nearHaploid_10k	3	47520000	47530000	3
ICE_nHap_1048	nearHaploid_10k	3	47830000	47840000	3
ICE_nHap_105	nearHaploid_10k	1	41270000	41280000	1
ICE_nHap_1053	nearHaploid_10k	3	50620000	50630000	3
ICE_nHap_1054	nearHaploid_10k	3	52000000	52010000	3
ICE_nHap_1057	nearHaploid_10k	3	53110000	53120000	3
