chr1	start1	end1	chr2	start2	end2
1	1930000	1940000	1	3420000	3430000
2	236340000	236350000	2	237060000	237070000
2	237150000	237160000	2	237560000	237570000
2	237140000	237150000	2	237750000	237760000
2	237510000	237520000	2	237740000	237750000
2	237590000	237600000	2	237670000	237680000
2	237590000	237600000	2	237730000	237740000
2	238350000	238360000	2	240130000	240140000
2	239030000	239040000	2	239990000	240000000
2	240150000	240160000	2	240430000	240440000
2	240220000	240230000	2	240430000	240440000
2	240580000	240590000	2	240830000	240840000
2	241250000	241260000	2	241650000	241660000
3	37850000	37860000	3	38490000	38500000
3	38000000	38010000	3	38470000	38480000
3	38110000	38120000	3	38480000	38490000
3	39100000	39110000	3	39280000	39290000
1	40140000	40150000	1	40410000	40420000
3	39190000	39200000	3	39280000	39290000
3	39430000	39440000	3	40310000	40320000
3	44530000	44540000	3	44910000	44920000
3	45030000	45040000	3	45500000	45510000
3	45030000	45040000	3	45660000	45670000
3	45030000	45040000	3	45920000	45930000
3	45510000	45520000	3	45650000	45660000
3	46080000	46090000	3	46370000	46380000
3	46480000	46490000	3	46630000	46640000
3	46700000	46710000	3	46900000	46910000
3	48250000	48260000	3	49450000	49460000
3	48270000	48280000	3	48540000	48550000
3	49310000	49320000	3	49440000	49450000
3	50350000	50360000	3	50540000	50550000
3	52740000	52750000	3	53070000	53080000
3	52850000	52860000	3	53700000	53710000
3	53300000	53310000	3	53700000	53710000
1	41570000	41580000	1	42740000	42750000
3	4710000	4720000	3	5200000	5210000
3	4710000	4720000	3	5050000	5060000
3	8960000	8970000	3	10730000	10740000
1	42320000	42330000	1	42740000	42750000
3	10340000	10350000	3	10720000	10730000
3	10760000	10770000	3	11330000	11340000
3	11060000	11070000	3	11330000	11340000
3	11370000	11380000	3	11810000	11820000
3	11380000	11390000	3	11640000	11650000
1	42580000	42590000	1	43070000	43080000
3	12900000	12910000	3	12980000	12990000
3	13490000	13500000	3	13640000	13650000
3	13490000	13500000	3	14920000	14930000
1	42770000	42780000	1	43070000	43080000
3	13890000	13900000	3	14470000	14480000
3	15200000	15210000	3	15800000	15810000
3	15250000	15260000	3	15390000	15400000
3	15820000	15830000	3	16170000	16180000
3	16600000	16610000	3	17230000	17240000
3	16600000	16610000	3	17410000	17420000
3	18420000	18430000	3	18750000	18760000
3	57170000	57180000	3	57840000	57850000
3	57870000	57880000	3	58160000	58170000
3	58010000	58020000	3	58150000	58160000
3	58310000	58320000	3	58520000	58530000
3	62330000	62340000	3	63810000	63820000
3	62660000	62670000	3	63810000	63820000
3	62620000	62630000	3	63990000	64000000
3	62650000	62660000	3	63220000	63230000
3	63350000	63360000	3	63800000	63810000
1	43530000	43540000	1	44040000	44050000
3	63350000	63360000	3	63990000	64000000
3	63860000	63870000	3	63990000	64000000
3	66260000	66270000	3	66820000	66830000
3	66400000	66410000	3	66810000	66820000
3	70530000	70540000	3	71290000	71300000
3	71690000	71700000	3	73070000	73080000
3	72940000	72950000	3	73060000	73070000
3	23890000	23900000	3	24680000	24690000
3	25640000	25650000	3	26710000	26720000
3	27130000	27140000	3	28320000	28330000
1	44720000	44730000	1	45300000	45310000
3	27310000	27320000	3	28320000	28330000
3	27710000	27720000	3	28310000	28320000
3	30770000	30780000	3	31760000	31770000
3	30770000	30780000	3	32140000	32150000
3	30770000	30780000	3	32330000	32340000
3	31610000	31620000	3	32150000	32160000
1	45020000	45030000	1	45490000	45500000
3	32730000	32740000	3	32930000	32940000
3	32940000	32950000	3	33370000	33380000
3	33130000	33140000	3	33370000	33380000
3	36730000	36740000	3	37210000	37220000
3	37020000	37030000	3	37200000	37210000
3	37450000	37460000	3	37770000	37780000
3	37850000	37860000	3	37960000	37970000
3	97790000	97800000	3	98020000	98030000
3	98040000	98050000	3	98580000	98590000
3	98590000	98600000	3	99770000	99780000
3	98600000	98610000	3	98800000	98810000
3	100310000	100320000	3	100590000	100600000
3	100310000	100320000	3	101370000	101380000
1	5630000	5640000	1	5900000	5910000
1	46030000	46040000	1	46190000	46200000
3	105680000	105690000	3	106610000	106620000
