chr1	start1	end1	chr2	start2	end2
1	25520000	25521000	1	25799000	25800000
2	241844000	241845000	2	241859000	241860000
1	25544000	25545000	1	25798000	25799000
3	3127000	3128000	3	4303000	4304000
3	4467000	4468000	3	4492000	4493000
3	4712000	4713000	3	4977000	4978000
3	4831000	4832000	3	4977000	4978000
3	4868000	4869000	3	4977000	4978000
3	5122000	5123000	3	5188000	5189000
3	5137000	5138000	3	5188000	5189000
3	8964000	8965000	3	9397000	9398000
3	8987000	8988000	3	9251000	9252000
3	9363000	9364000	3	9396000	9397000
3	9397000	9398000	3	9649000	9650000
3	9504000	9505000	3	9649000	9650000
3	9649000	9650000	3	9730000	9731000
3	9649000	9650000	3	9749000	9750000
3	9649000	9650000	3	9792000	9793000
3	9731000	9732000	3	9792000	9793000
3	9733000	9734000	3	9748000	9749000
3	9748000	9749000	3	10294000	10295000
1	2572000	2573000	1	2584000	2585000
3	9750000	9751000	3	9792000	9793000
3	9794000	9795000	3	9808000	9809000
3	9844000	9845000	3	10320000	10321000
3	9844000	9845000	3	9984000	9985000
3	9845000	9846000	3	9932000	9933000
3	9891000	9892000	3	9933000	9934000
3	9933000	9934000	3	10025000	10026000
3	9933000	9934000	3	9985000	9986000
3	9934000	9935000	3	10321000	10322000
3	9935000	9936000	3	9950000	9951000
3	9985000	9986000	3	10321000	10322000
3	9986000	9987000	3	10025000	10026000
3	10010000	10011000	3	10248000	10249000
1	25820000	25821000	1	25859000	25860000
3	10025000	10026000	3	10249000	10250000
3	10026000	10027000	3	10320000	10321000
3	10115000	10116000	3	10249000	10250000
3	10115000	10116000	3	10321000	10322000
3	10116000	10117000	3	10141000	10142000
3	10142000	10143000	3	10248000	10249000
3	10165000	10166000	3	10320000	10321000
1	25861000	25862000	1	25873000	25874000
3	11377000	11378000	3	11846000	11847000
3	11380000	11381000	3	11645000	11646000
3	11398000	11399000	3	11645000	11646000
3	11558000	11559000	3	11642000	11643000
3	11583000	11584000	3	11641000	11642000
1	25905000	25906000	1	25997000	25998000
3	12484000	12485000	3	12556000	12557000
3	12484000	12485000	3	12663000	12664000
3	12555000	12556000	3	12841000	12842000
3	12556000	12557000	3	12664000	12665000
3	12578000	12579000	3	12663000	12664000
3	12664000	12665000	3	12841000	12842000
3	12787000	12788000	3	12841000	12842000
3	12811000	12812000	3	12841000	12842000
3	12967000	12968000	3	13480000	13481000
3	12994000	12995000	3	13071000	13072000
3	13012000	13013000	3	13071000	13072000
3	14124000	14125000	3	14651000	14652000
3	14125000	14126000	3	14177000	14178000
3	14145000	14146000	3	14176000	14177000
3	14178000	14179000	3	14651000	14652000
3	14651000	14652000	3	14947000	14948000
3	14947000	14948000	3	15098000	15099000
3	14948000	14949000	3	15065000	15066000
1	26111000	26112000	1	26472000	26473000
3	15052000	15053000	3	15097000	15098000
3	15054000	15055000	3	15064000	15065000
3	15066000	15067000	3	15097000	15098000
3	15098000	15099000	3	15601000	15602000
3	15205000	15206000	3	15427000	15428000
3	15206000	15207000	3	15601000	15602000
3	15207000	15208000	3	15796000	15797000
1	26169000	26170000	1	26233000	26234000
3	15269000	15270000	3	15331000	15332000
3	15293000	15294000	3	15330000	15331000
3	15797000	15798000	3	16264000	16265000
3	15816000	15817000	3	16263000	16264000
3	16266000	16267000	3	16513000	16514000
3	16291000	16292000	3	16513000	16514000
3	16300000	16301000	3	16513000	16514000
3	16375000	16376000	3	16513000	16514000
3	16432000	16433000	3	16512000	16513000
3	16467000	16468000	3	16511000	16512000
3	16482000	16483000	3	16511000	16512000
1	26286000	26287000	1	26319000	26320000
1	26289000	26290000	1	26306000	26307000
3	19885000	19886000	3	20040000	20041000
3	19947000	19948000	3	20040000	20041000
3	19947000	19948000	3	20186000	20187000
3	20041000	20042000	3	20186000	20187000
3	20126000	20127000	3	20186000	20187000
1	26434000	26435000	1	26470000	26471000
3	23070000	23071000	3	23203000	23204000
3	23205000	23206000	3	23806000	23807000
3	23807000	23808000	3	23917000	23918000
3	23917000	23918000	3	23945000	23946000
3	25651000	25652000	3	25784000	25785000
3	25664000	25665000	3	25783000	25784000
1	26472000	26473000	1	26889000	26890000
3	27483000	27484000	3	28348000	28349000
3	28916000	28917000	3	29280000	29281000
1	26500000	26501000	1	26788000	26789000
3	30436000	30437000	3	30606000	30607000
1	26501000	26502000	1	26530000	26531000
3	31227000	31228000	3	31533000	31534000
3	32178000	32179000	3	32238000	32239000
1	26542000	26543000	1	26888000	26889000
1	26543000	26544000	1	26788000	26789000
3	32502000	32503000	3	32684000	32685000
3	32513000	32514000	3	32684000	32685000
3	32570000	32571000	3	32684000	32685000
3	33114000	33115000	3	33440000	33441000
3	33131000	33132000	3	33717000	33718000
3	33441000	33442000	3	33717000	33718000
3	33636000	33637000	3	33716000	33717000
3	33660000	33661000	3	33717000	33718000
3	35296000	35297000	3	35640000	35641000
3	36904000	36905000	3	36992000	36993000
3	36910000	36911000	3	36992000	36993000
3	36912000	36913000	3	36944000	36945000
3	36945000	36946000	3	36991000	36992000
3	36993000	36994000	3	37176000	37177000
3	36993000	36994000	3	37243000	37244000
3	37999000	38000000	3	38038000	38039000
3	38024000	38025000	3	38165000	38166000
3	38025000	38026000	3	38454000	38455000
3	38027000	38028000	3	38037000	38038000
3	38117000	38118000	3	38346000	38347000
3	38117000	38118000	3	38496000	38497000
3	38137000	38138000	3	38346000	38347000
3	38138000	38139000	3	38165000	38166000
3	38148000	38149000	3	38164000	38165000
3	38165000	38166000	3	38454000	38455000
3	39151000	39152000	3	39406000	39407000
3	39152000	39153000	3	39383000	39384000
3	39385000	39386000	3	39405000	39406000
3	39418000	39419000	3	40313000	40314000
1	26601000	26602000	1	26789000	26790000
3	40309000	40310000	3	40455000	40456000
3	40456000	40457000	3	40504000	40505000
3	40456000	40457000	3	40524000	40525000
3	40457000	40458000	3	40475000	40476000
3	40584000	40585000	3	41200000	41201000
1	26602000	26603000	1	26694000	26695000
3	42247000	42248000	3	42502000	42503000
3	42582000	42583000	3	42600000	42601000
3	42601000	42602000	3	42772000	42773000
3	42774000	42775000	3	42803000	42804000
3	43162000	43163000	3	43287000	43288000
3	43224000	43225000	3	43286000	43287000
