chr1	start1	end1	chr2	start2	end2
2	9140000	9150000	2	10040000	10050000
20	57380000	57390000	20	57490000	57500000
20	57400000	57410000	20	58890000	58900000
20	58220000	58230000	20	59450000	59460000
20	58230000	58240000	20	58650000	58660000
2	9810000	9820000	2	10040000	10050000
20	59950000	59960000	20	61890000	61900000
20	60050000	60060000	20	61250000	61260000
20	60210000	60220000	20	61250000	61260000
20	62010000	62020000	20	62380000	62390000
20	62190000	62200000	20	62380000	62390000
20	62300000	62310000	20	62380000	62390000
20	62300000	62310000	20	62800000	62810000
20	62400000	62410000	20	62800000	62810000
20	62500000	62510000	20	62790000	62800000
20	62660000	62670000	20	62790000	62800000
20	63540000	63550000	20	63960000	63970000
21	18400000	18410000	21	18480000	18490000
21	25600000	25610000	21	26170000	26180000
21	26840000	26850000	21	27700000	27710000
2	10440000	10450000	2	10660000	10670000
21	30340000	30350000	21	31070000	31080000
21	30340000	30350000	21	31170000	31180000
21	30340000	30350000	21	31600000	31610000
21	30820000	30830000	21	31600000	31610000
2	11130000	11140000	2	11580000	11590000
21	33930000	33940000	21	34080000	34090000
2	11130000	11140000	2	11450000	11460000
21	37710000	37720000	21	37910000	37920000
21	42920000	42930000	21	43640000	43650000
21	43800000	43810000	21	44300000	44310000
21	44330000	44340000	21	44790000	44800000
21	44500000	44510000	21	44920000	44930000
21	45150000	45160000	21	45280000	45290000
21	45280000	45290000	21	45820000	45830000
2	11670000	11680000	2	13000000	13010000
22	24420000	24430000	22	24510000	24520000
22	24770000	24780000	22	25040000	25050000
22	26680000	26690000	22	27800000	27810000
22	27400000	27410000	22	27800000	27810000
22	30280000	30290000	22	30380000	30390000
2	11830000	11840000	2	12710000	12720000
22	30630000	30640000	22	30910000	30920000
22	30760000	30770000	22	31140000	31150000
22	31660000	31670000	22	31950000	31960000
2	12040000	12050000	2	12710000	12720000
22	36540000	36550000	22	36770000	36780000
22	36770000	36780000	22	36980000	36990000
22	17080000	17090000	22	18100000	18110000
22	38870000	38880000	22	39120000	39130000
22	39010000	39020000	22	39110000	39120000
22	39150000	39160000	22	40030000	40040000
22	39340000	39350000	22	40030000	40040000
22	39530000	39540000	22	40340000	40350000
22	40920000	40930000	22	41240000	41250000
22	41690000	41700000	22	41930000	41940000
22	41820000	41830000	22	41940000	41950000
22	41960000	41970000	22	42460000	42470000
22	45260000	45270000	22	45970000	45980000
22	45440000	45450000	22	45970000	45980000
22	45570000	45580000	22	45970000	45980000
22	45640000	45650000	22	45970000	45980000
22	49770000	49780000	22	49910000	49920000
22	49930000	49940000	22	50200000	50210000
22	50250000	50260000	22	50610000	50620000
22	50260000	50270000	22	50490000	50500000
X	56270000	56280000	X	56720000	56730000
X	64200000	64210000	X	65520000	65530000
X	68820000	68830000	X	69150000	69160000
X	68820000	68830000	X	69220000	69230000
X	68820000	68830000	X	69280000	69290000
X	68820000	68830000	X	69380000	69390000
X	69500000	69510000	X	70100000	70110000
X	23690000	23700000	X	24050000	24060000
X	30560000	30570000	X	30880000	30890000
X	30640000	30650000	X	30880000	30890000
X	38800000	38810000	X	38880000	38890000
2	15940000	15950000	2	17660000	17670000
X	43950000	43960000	X	44540000	44550000
2	16640000	16650000	2	17810000	17820000
X	47190000	47200000	X	47520000	47530000
X	47190000	47200000	X	47640000	47650000
X	47210000	47220000	X	47370000	47380000
X	48070000	48080000	X	48570000	48580000
X	53310000	53320000	X	55160000	55170000
X	6020000	6030000	X	7920000	7930000
X	6220000	6230000	X	7070000	7080000
X	7130000	7140000	X	7920000	7930000
X	7990000	8000000	X	8730000	8740000
X	9340000	9350000	X	9460000	9470000
X	10000000	10010000	X	11110000	11120000
X	10000000	10010000	X	11750000	11760000
X	11130000	11140000	X	12900000	12910000
X	13510000	13520000	X	14020000	14030000
X	13660000	13670000	X	14020000	14030000
X	13750000	13760000	X	14020000	14030000
X	14050000	14060000	X	14520000	14530000
X	14870000	14880000	X	16710000	16720000
X	14870000	14880000	X	16780000	16790000
X	15330000	15340000	X	16790000	16800000
X	15490000	15500000	X	16440000	16450000
X	15840000	15850000	X	16120000	16130000
X	18250000	18260000	X	18350000	18360000
X	102150000	102160000	X	102830000	102840000
X	103680000	103690000	X	104140000	104150000
X	107000000	107010000	X	107640000	107650000
X	107650000	107660000	X	107770000	107780000
2	56180000	56190000	2	56740000	56750000
2	56180000	56190000	2	57500000	57510000
X	77430000	77440000	X	78100000	78110000
X	77910000	77920000	X	79440000	79450000
X	78130000	78140000	X	79260000	79270000
X	78130000	78140000	X	78520000	78530000
X	80810000	80820000	X	81200000	81210000
X	109730000	109740000	X	110320000	110330000
X	111870000	111880000	X	112360000	112370000
X	111870000	111880000	X	112730000	112740000
X	119500000	119510000	X	119890000	119900000
X	119500000	119510000	X	119750000	119760000
X	119780000	119790000	X	119870000	119880000
X	123960000	123970000	X	124030000	124040000
X	129600000	129610000	X	129900000	129910000
X	129610000	129620000	X	129730000	129740000
X	129900000	129910000	X	131800000	131810000
X	130330000	130340000	X	130910000	130920000
X	131850000	131860000	X	132210000	132220000
X	132740000	132750000	X	132950000	132960000
X	134370000	134380000	X	135970000	135980000
X	134790000	134800000	X	134900000	134910000
X	134800000	134810000	X	135960000	135970000
X	136010000	136020000	X	136490000	136500000
X	138770000	138780000	X	139960000	139970000
X	140800000	140810000	X	141170000	141180000
X	149500000	149510000	X	151390000	151400000
X	150770000	150780000	X	152630000	152640000
X	151150000	151160000	X	152630000	152640000
X	151500000	151510000	X	152630000	152640000
X	151750000	151760000	X	152630000	152640000
X	152940000	152950000	X	154430000	154440000
Y	20570000	20580000	Y	20750000	20760000
2	64650000	64660000	2	64740000	64750000
2	66430000	66440000	2	68020000	68030000
2	69730000	69740000	2	70290000	70300000
2	69900000	69910000	2	70290000	70300000
2	69910000	69920000	2	70070000	70080000
2	69910000	69920000	2	70140000	70150000
2	70790000	70800000	2	70940000	70950000
2	71290000	71300000	2	72140000	72150000
2	71540000	71550000	2	72140000	72150000
2	39120000	39130000	2	39220000	39230000
2	39910000	39920000	2	40450000	40460000
2	42820000	42830000	2	43590000	43600000
2	42950000	42960000	2	43220000	43230000
2	43130000	43140000	2	43220000	43230000
2	45650000	45660000	2	45770000	45780000
1	11030000	11040000	1	11730000	11740000
2	54110000	54120000	2	54500000	54510000
2	96850000	96860000	2	96950000	96960000
2	101020000	101030000	2	101150000	101160000
1	11650000	11660000	1	11730000	11740000
2	105340000	105350000	2	106190000	106200000
2	74480000	74490000	2	74580000	74590000
1	12400000	12410000	1	12610000	12620000
2	85410000	85420000	2	85540000	85550000
2	88450000	88460000	2	89810000	89820000
1	22120000	22130000	1	22640000	22650000
2	120340000	120350000	2	120670000	120680000
2	120340000	120350000	2	121070000	121080000
2	127880000	127890000	2	128100000	128110000
2	130350000	130360000	2	131100000	131110000
2	134920000	134930000	2	135870000	135880000
2	135920000	135930000	2	136110000	136120000
2	135990000	136000000	2	136110000	136120000
2	136110000	136120000	2	136370000	136380000
1	15120000	15130000	1	15430000	15440000
1	15320000	15330000	1	15430000	15440000
2	144520000	144530000	2	144890000	144900000
2	151280000	151290000	2	152690000	152700000
2	151820000	151830000	2	152710000	152720000
2	151970000	151980000	2	153520000	153530000
2	152040000	152050000	2	152170000	152180000
2	152330000	152340000	2	152620000	152630000
2	156330000	156340000	2	156410000	156420000
1	17120000	17130000	1	17240000	17250000
2	157320000	157330000	2	157470000	157480000
2	162150000	162160000	2	162290000	162300000
2	165000000	165010000	2	166120000	166130000
2	165010000	165020000	2	165200000	165210000
2	165230000	165240000	2	165870000	165880000
2	165400000	165410000	2	166120000	166130000
2	168160000	168170000	2	168240000	168250000
2	169930000	169940000	2	170810000	170820000
2	170230000	170240000	2	170810000	170820000
2	170810000	170820000	2	172090000	172100000
2	170960000	170970000	2	171430000	171440000
2	171160000	171170000	2	171410000	171420000
1	22420000	22430000	1	22640000	22650000
1	18900000	18910000	1	19090000	19100000
2	173570000	173580000	2	174330000	174340000
2	173750000	173760000	2	174330000	174340000
2	174330000	174340000	2	176090000	176100000
2	174720000	174730000	2	176090000	176100000
2	175030000	175040000	2	176090000	176100000
2	175110000	175120000	2	176090000	176100000
2	175250000	175260000	2	176090000	176100000
2	175360000	175370000	2	176090000	176100000
2	175680000	175690000	2	176090000	176100000
2	176120000	176130000	2	176650000	176660000
2	176120000	176130000	2	177320000	177330000
2	176120000	176130000	2	177420000	177430000
2	176120000	176130000	2	177750000	177760000
2	178110000	178120000	2	178410000	178420000
2	178110000	178120000	2	179750000	179760000
2	181300000	181310000	2	181450000	181460000
2	199970000	199980000	2	200580000	200590000
2	200580000	200590000	2	200700000	200710000
2	200900000	200910000	2	201070000	201080000
2	201240000	201250000	2	201780000	201790000
2	201350000	201360000	2	202170000	202180000
2	205680000	205690000	2	205920000	205930000
1	22970000	22980000	1	23180000	23190000
2	207620000	207630000	2	207720000	207730000
2	208260000	208270000	2	210170000	210180000
2	209420000	209430000	2	209550000	209560000
2	209420000	209430000	2	210190000	210200000
2	212680000	212690000	2	213150000	213160000
2	212770000	212780000	2	213150000	213160000
1	41570000	41580000	1	42160000	42170000
2	216690000	216700000	2	217150000	217160000
1	42330000	42340000	1	42740000	42750000
2	189660000	189670000	2	189770000	189780000
2	189660000	189670000	2	190060000	190070000
1	42570000	42580000	1	42740000	42750000
2	189660000	189670000	2	191010000	191020000
2	189790000	189800000	2	190060000	190070000
2	189770000	189780000	2	191010000	191020000
1	42780000	42790000	1	43070000	43080000
1	42780000	42790000	1	43410000	43420000
2	195570000	195580000	2	196060000	196070000
2	195660000	195670000	2	196060000	196070000
1	22970000	22980000	1	23400000	23410000
2	197800000	197810000	2	198290000	198300000
2	198310000	198320000	2	199850000	199860000
2	235770000	235780000	2	237560000	237570000
2	236500000	236510000	2	237040000	237050000
2	237150000	237160000	2	237560000	237570000
2	238360000	238370000	2	240140000	240150000
1	43520000	43530000	1	43930000	43940000
2	239030000	239040000	2	240140000	240150000
2	240050000	240060000	2	240140000	240150000
2	240050000	240060000	2	240430000	240440000
2	240150000	240160000	2	240430000	240440000
2	240230000	240240000	2	240430000	240440000
2	217780000	217790000	2	218060000	218070000
2	218160000	218170000	2	218840000	218850000
2	218280000	218290000	2	218650000	218660000
2	218290000	218300000	2	218380000	218390000
2	218400000	218410000	2	218650000	218660000
2	218990000	219000000	2	219140000	219150000
2	219040000	219050000	2	219140000	219150000
2	219160000	219170000	2	219290000	219300000
2	219160000	219170000	2	219360000	219370000
1	43760000	43770000	1	43930000	43940000
2	220680000	220690000	2	221570000	221580000
2	227130000	227140000	2	227870000	227880000
2	227370000	227380000	2	227470000	227480000
1	44790000	44800000	1	45490000	45500000
2	227470000	227480000	2	227760000	227770000
2	227890000	227900000	2	229270000	229280000
2	227890000	227900000	2	229710000	229720000
2	230060000	230070000	2	230150000	230160000
1	23090000	23100000	1	23180000	23190000
1	45010000	45020000	1	45300000	45310000
2	231610000	231620000	2	231700000	231710000
2	232600000	232610000	2	233710000	233720000
2	232850000	232860000	2	233250000	233260000
1	45010000	45020000	1	45490000	45500000
2	233850000	233860000	2	234500000	234510000
2	234280000	234290000	2	234490000	234500000
3	1440000	1450000	3	3170000	3180000
3	11380000	11390000	3	11640000	11650000
3	14650000	14660000	3	14920000	14930000
3	15180000	15190000	3	16170000	16180000
3	15200000	15210000	3	15800000	15810000
