loopID	loopSource	chr1	start1	end1	chr2
ICE_nHap_1003	nearHaploid_10k	2	237150000	237160000	2
ICE_nHap_1006	nearHaploid_10k	2	237590000	237600000	2
ICE_nHap_1007	nearHaploid_10k	2	237590000	237600000	2
ICE_nHap_1008	nearHaploid_10k	2	238350000	238360000	2
ICE_nHap_1011	nearHaploid_10k	2	240150000	240160000	2
ICE_nHap_1012	nearHaploid_10k	2	240220000	240230000	2
ICE_nHap_1013	nearHaploid_10k	2	240580000	240590000	2
ICE_nHap_1015	nearHaploid_10k	3	37850000	37860000	3
ICE_nHap_1019	nearHaploid_10k	3	39100000	39110000	3
ICE_nHap_1020	nearHaploid_10k	3	39190000	39200000	3
ICE_nHap_1021	nearHaploid_10k	3	39430000	39440000	3
ICE_nHap_1044	nearHaploid_10k	3	46080000	46090000	3
ICE_nHap_1046	nearHaploid_10k	3	46700000	46710000	3
ICE_nHap_1052	nearHaploid_10k	3	50350000	50360000	3
ICE_nHap_106	nearHaploid_10k	1	41570000	41580000	1
ICE_nHap_1067	nearHaploid_10k	3	8960000	8970000	3
ICE_nHap_107	nearHaploid_10k	1	42320000	42330000	1
ICE_nHap_1079	nearHaploid_10k	3	11380000	11390000	3
ICE_nHap_1097	nearHaploid_10k	3	15200000	15210000	3
ICE_nHap_1100	nearHaploid_10k	3	15820000	15830000	3
ICE_nHap_1105	nearHaploid_10k	3	16600000	16610000	3
ICE_nHap_1106	nearHaploid_10k	3	16600000	16610000	3
ICE_nHap_1113	nearHaploid_10k	3	18420000	18430000	3
ICE_nHap_1124	nearHaploid_10k	3	62330000	62340000	3
ICE_nHap_1125	nearHaploid_10k	3	62660000	62670000	3
ICE_nHap_113	nearHaploid_10k	1	43530000	43540000	1
ICE_nHap_1131	nearHaploid_10k	3	63860000	63870000	3
ICE_nHap_1150	nearHaploid_10k	3	72940000	72950000	3
ICE_nHap_117	nearHaploid_10k	1	45020000	45030000	1
ICE_nHap_1186	nearHaploid_10k	3	37450000	37460000	3
ICE_nHap_1190	nearHaploid_10k	3	98040000	98050000	3
ICE_nHap_1192	nearHaploid_10k	3	98590000	98600000	3
ICE_nHap_120	nearHaploid_10k	1	46030000	46040000	1
ICE_nHap_1210	nearHaploid_10k	3	112330000	112340000	3
ICE_nHap_1218	nearHaploid_10k	3	122550000	122560000	3
ICE_nHap_122	nearHaploid_10k	1	47190000	47200000	1
ICE_nHap_123	nearHaploid_10k	1	47430000	47440000	1
ICE_nHap_1232	nearHaploid_10k	3	128960000	128970000	3
ICE_nHap_1241	nearHaploid_10k	3	132720000	132730000	3
ICE_nHap_1254	nearHaploid_10k	3	134790000	134800000	3
ICE_nHap_1264	nearHaploid_10k	3	138590000	138600000	3
ICE_nHap_1276	nearHaploid_10k	3	142120000	142130000	3
ICE_nHap_1280	nearHaploid_10k	3	87270000	87280000	3
ICE_nHap_1285	nearHaploid_10k	3	169140000	169150000	3
ICE_nHap_1287	nearHaploid_10k	3	169860000	169870000	3
ICE_nHap_1299	nearHaploid_10k	3	179010000	179020000	3
ICE_nHap_1304	nearHaploid_10k	3	149120000	149130000	3
ICE_nHap_1305	nearHaploid_10k	3	149120000	149130000	3
ICE_nHap_133	nearHaploid_10k	1	52400000	52410000	1
ICE_nHap_1347	nearHaploid_10k	3	181710000	181720000	3
ICE_nHap_1352	nearHaploid_10k	3	183890000	183900000	3
ICE_nHap_1354	nearHaploid_10k	3	184360000	184370000	3
ICE_nHap_1355	nearHaploid_10k	3	184370000	184380000	3
ICE_nHap_1359	nearHaploid_10k	3	185660000	185670000	3
ICE_nHap_1360	nearHaploid_10k	3	185970000	185980000	3
ICE_nHap_1361	nearHaploid_10k	3	185970000	185980000	3
ICE_nHap_1365	nearHaploid_10k	3	186250000	186260000	3
ICE_nHap_1366	nearHaploid_10k	3	186840000	186850000	3
ICE_nHap_1371	nearHaploid_10k	3	187740000	187750000	3
ICE_nHap_1372	nearHaploid_10k	3	187740000	187750000	3
ICE_nHap_1393	nearHaploid_10k	3	193780000	193790000	3
ICE_nHap_1396	nearHaploid_10k	3	194670000	194680000	3
ICE_nHap_1397	nearHaploid_10k	3	194680000	194690000	3
ICE_nHap_140	nearHaploid_10k	1	53860000	53870000	1
ICE_nHap_1401	nearHaploid_10k	4	1130000	1140000	4
ICE_nHap_1403	nearHaploid_10k	4	3190000	3200000	4
ICE_nHap_1415	nearHaploid_10k	4	12730000	12740000	4
ICE_nHap_1417	nearHaploid_10k	4	15230000	15240000	4
ICE_nHap_142	nearHaploid_10k	1	54070000	54080000	1
ICE_nHap_1426	nearHaploid_10k	4	17570000	17580000	4
ICE_nHap_143	nearHaploid_10k	1	54400000	54410000	1
ICE_nHap_1433	nearHaploid_10k	4	38060000	38070000	4
ICE_nHap_1436	nearHaploid_10k	4	39470000	39480000	4
ICE_nHap_1439	nearHaploid_10k	4	40950000	40960000	4
ICE_nHap_1453	nearHaploid_10k	4	53190000	53200000	4
ICE_nHap_146	nearHaploid_10k	1	19920000	19930000	1
ICE_nHap_1460	nearHaploid_10k	4	67540000	67550000	4
ICE_nHap_1463	nearHaploid_10k	4	73060000	73070000	4
ICE_nHap_1465	nearHaploid_10k	4	21790000	21800000	4
ICE_nHap_1466	nearHaploid_10k	4	22400000	22410000	4
ICE_nHap_1474	nearHaploid_10k	4	36240000	36250000	4
ICE_nHap_1478	nearHaploid_10k	4	139010000	139020000	4
ICE_nHap_1482	nearHaploid_10k	4	142120000	142130000	4
ICE_nHap_149	nearHaploid_10k	1	21220000	21230000	1
ICE_nHap_1501	nearHaploid_10k	4	78630000	78640000	4
ICE_nHap_1504	nearHaploid_10k	4	80050000	80060000	4
ICE_nHap_1524	nearHaploid_10k	4	86920000	86930000	4
ICE_nHap_1526	nearHaploid_10k	4	86930000	86940000	4
ICE_nHap_153	nearHaploid_10k	1	22970000	22980000	1
ICE_nHap_1532	nearHaploid_10k	4	87850000	87860000	4
ICE_nHap_154	nearHaploid_10k	1	22970000	22980000	1
ICE_nHap_1544	nearHaploid_10k	4	98140000	98150000	4
ICE_nHap_1545	nearHaploid_10k	4	98140000	98150000	4
ICE_nHap_155	nearHaploid_10k	1	23090000	23100000	1
ICE_nHap_1554	nearHaploid_10k	4	105140000	105150000	4
ICE_nHap_1555	nearHaploid_10k	4	108000000	108010000	4
ICE_nHap_156	nearHaploid_10k	1	23550000	23560000	1
ICE_nHap_1560	nearHaploid_10k	4	109420000	109430000	4
ICE_nHap_1570	nearHaploid_10k	4	110620000	110630000	4
ICE_nHap_1571	nearHaploid_10k	4	110620000	110630000	4
ICE_nHap_1572	nearHaploid_10k	4	110620000	110630000	4
ICE_nHap_1577	nearHaploid_10k	4	112090000	112100000	4
ICE_nHap_1597	nearHaploid_10k	4	121890000	121900000	4
ICE_nHap_1616	nearHaploid_10k	4	151270000	151280000	4
ICE_nHap_162	nearHaploid_10k	1	24850000	24860000	1
ICE_nHap_1623	nearHaploid_10k	4	153340000	153350000	4
ICE_nHap_1626	nearHaploid_10k	4	154550000	154560000	4
ICE_nHap_163	nearHaploid_10k	1	25500000	25510000	1
ICE_nHap_1634	nearHaploid_10k	4	158720000	158730000	4
ICE_nHap_1648	nearHaploid_10k	4	169010000	169020000	4
ICE_nHap_1668	nearHaploid_10k	5	2740000	2750000	5
ICE_nHap_1693	nearHaploid_10k	5	17210000	17220000	5
ICE_nHap_1708	nearHaploid_10k	5	40370000	40380000	5
ICE_nHap_1709	nearHaploid_10k	5	40500000	40510000	5
ICE_nHap_1710	nearHaploid_10k	5	40750000	40760000	5
ICE_nHap_1717	nearHaploid_10k	5	53100000	53110000	5
ICE_nHap_1723	nearHaploid_10k	5	54510000	54520000	5
ICE_nHap_1724	nearHaploid_10k	5	54510000	54520000	5
ICE_nHap_1726	nearHaploid_10k	5	55170000	55180000	5
ICE_nHap_173	nearHaploid_10k	1	29230000	29240000	1
ICE_nHap_1734	nearHaploid_10k	5	56830000	56840000	5
ICE_nHap_1735	nearHaploid_10k	5	56900000	56910000	5
ICE_nHap_1736	nearHaploid_10k	5	56900000	56910000	5
ICE_nHap_1737	nearHaploid_10k	5	57230000	57240000	5
ICE_nHap_174	nearHaploid_10k	1	29230000	29240000	1
ICE_nHap_1742	nearHaploid_10k	5	57770000	57780000	5
ICE_nHap_1754	nearHaploid_10k	5	61160000	61170000	5
ICE_nHap_1757	nearHaploid_10k	5	62450000	62460000	5
ICE_nHap_1759	nearHaploid_10k	5	64800000	64810000	5
ICE_nHap_176	nearHaploid_10k	1	30720000	30730000	1
ICE_nHap_1760	nearHaploid_10k	5	64960000	64970000	5
ICE_nHap_1774	nearHaploid_10k	5	73300000	73310000	5
ICE_nHap_1781	nearHaploid_10k	5	33450000	33460000	5
ICE_nHap_1783	nearHaploid_10k	5	35080000	35090000	5
ICE_nHap_1787	nearHaploid_10k	5	36060000	36070000	5
ICE_nHap_1798	nearHaploid_10k	5	112990000	113000000	5
ICE_nHap_1810	nearHaploid_10k	5	115620000	115630000	5
ICE_nHap_1826	nearHaploid_10k	5	93580000	93590000	5
ICE_nHap_1836	nearHaploid_10k	5	102780000	102790000	5
ICE_nHap_185	nearHaploid_10k	1	34780000	34790000	1
ICE_nHap_186	nearHaploid_10k	1	35570000	35580000	1
