loopID	loopSource	chr1	start1	end1	chr2
ICE002_10	merged_1k	1	986000	987000	1
ICE002_100	merged_1k	1	2564000	2565000	1
ICE002_10001	merged_1k	2	241952000	241953000	2
ICE002_10002	merged_1k	2	241955000	241956000	2
ICE002_10003	merged_1k	3	63000	64000	3
ICE002_10006	merged_1k	3	539000	540000	3
ICE002_10007	merged_1k	3	547000	548000	3
ICE002_10008	merged_1k	3	623000	624000	3
ICE002_10009	merged_1k	3	624000	625000	3
ICE002_10010	merged_1k	3	881000	882000	3
ICE002_10011	merged_1k	3	3115000	3116000	3
ICE002_10017	merged_1k	3	3199000	3200000	3
ICE002_10018	merged_1k	3	3388000	3389000	3
ICE002_10019	merged_1k	3	3886000	3887000	3
ICE002_10020	merged_1k	3	4306000	4307000	3
ICE002_10021	merged_1k	3	4350000	4351000	3
ICE002_10022	merged_1k	3	4351000	4352000	3
ICE002_10023	merged_1k	3	4351000	4352000	3
ICE002_10024	merged_1k	3	4371000	4372000	3
ICE002_1003	merged_1k	1	25607000	25608000	1
ICE002_10031	merged_1k	3	4721000	4722000	3
ICE002_10032	merged_1k	3	4721000	4722000	3
ICE002_10033	merged_1k	3	4826000	4827000	3
ICE002_10034	merged_1k	3	4829000	4830000	3
ICE002_10036	merged_1k	3	4832000	4833000	3
ICE002_10037	merged_1k	3	4846000	4847000	3
ICE002_10038	merged_1k	3	4847000	4848000	3
ICE002_10039	merged_1k	3	4854000	4855000	3
ICE002_10040	merged_1k	3	4860000	4861000	3
ICE002_10042	merged_1k	3	4874000	4875000	3
ICE002_10043	merged_1k	3	4914000	4915000	3
ICE002_10045	merged_1k	3	4984000	4985000	3
ICE002_10049	merged_1k	3	5137000	5138000	3
ICE002_10050	merged_1k	3	5137000	5138000	3
ICE002_10053	merged_1k	3	5226000	5227000	3
ICE002_10054	merged_1k	3	5306000	5307000	3
ICE002_10055	merged_1k	3	6205000	6206000	3
ICE002_10056	merged_1k	3	6406000	6407000	3
ICE002_10057	merged_1k	3	6572000	6573000	3
ICE002_10058	merged_1k	3	6920000	6921000	3
ICE002_10059	merged_1k	3	8176000	8177000	3
ICE002_10060	merged_1k	3	8240000	8241000	3
ICE002_10061	merged_1k	3	8301000	8302000	3
ICE002_10062	merged_1k	3	8324000	8325000	3
ICE002_10063	merged_1k	3	8329000	8330000	3
ICE002_10064	merged_1k	3	8331000	8332000	3
ICE002_10065	merged_1k	3	8339000	8340000	3
ICE002_10066	merged_1k	3	8342000	8343000	3
ICE002_10067	merged_1k	3	8344000	8345000	3
ICE002_10068	merged_1k	3	8444000	8445000	3
ICE002_10069	merged_1k	3	8696000	8697000	3
ICE002_10070	merged_1k	3	8936000	8937000	3
ICE002_10071	merged_1k	3	8940000	8941000	3
ICE002_10074	merged_1k	3	8969000	8970000	3
ICE002_10076	merged_1k	3	8971000	8972000	3
ICE002_10077	merged_1k	3	8971000	8972000	3
