chr1	start1	end1	chr2	start2	end2
1	40610000	40620000	1	40840000	40850000
1	67530000	67540000	1	68110000	68120000
2	147930000	147940000	2	148990000	149000000
2	147930000	147940000	2	149560000	149570000
2	147980000	147990000	2	148510000	148520000
2	148010000	148020000	2	148650000	148660000
2	149010000	149020000	2	149560000	149570000
2	149590000	149600000	2	151240000	151250000
2	149590000	149600000	2	151420000	151430000
2	149600000	149610000	2	151040000	151050000
2	151250000	151260000	2	152010000	152020000
1	67530000	67540000	1	68340000	68350000
2	151450000	151460000	2	152670000	152680000
2	152030000	152040000	2	153510000	153520000
2	152030000	152040000	2	152630000	152640000
2	152030000	152040000	2	152730000	152740000
2	152180000	152190000	2	152630000	152640000
2	152740000	152750000	2	153510000	153520000
2	155370000	155380000	2	156590000	156600000
1	67550000	67560000	1	67750000	67760000
2	155370000	155380000	2	157190000	157200000
2	157300000	157310000	2	158750000	158760000
2	157310000	157320000	2	158000000	158010000
2	157310000	157320000	2	157600000	157610000
2	157770000	157780000	2	158750000	158760000
2	157780000	157790000	2	158000000	158010000
2	158020000	158030000	2	158750000	158760000
2	158170000	158180000	2	158740000	158750000
1	67850000	67860000	1	68110000	68120000
2	158900000	158910000	2	159110000	159120000
2	158900000	158910000	2	159800000	159810000
2	160250000	160260000	2	160990000	161000000
2	160330000	160340000	2	160990000	161000000
2	161220000	161230000	2	162120000	162130000
2	161220000	161230000	2	162300000	162310000
2	161580000	161590000	2	162130000	162140000
2	199970000	199980000	2	200700000	200710000
2	199970000	199980000	2	200470000	200480000
1	67850000	67860000	1	68340000	68350000
2	199980000	199990000	2	200310000	200320000
2	200900000	200910000	2	201170000	201180000
2	201240000	201250000	2	201360000	201370000
2	201240000	201250000	2	202170000	202180000
2	201670000	201680000	2	202170000	202180000
2	201860000	201870000	2	202170000	202180000
2	202570000	202580000	2	203450000	203460000
2	202570000	202580000	2	203910000	203920000
2	202580000	202590000	2	203810000	203820000
1	67850000	67860000	1	69730000	69740000
2	202590000	202600000	2	202860000	202870000
2	203480000	203490000	2	203810000	203820000
2	203480000	203490000	2	203900000	203910000
2	204020000	204030000	2	205930000	205940000
2	204120000	204130000	2	205920000	205930000
2	204250000	204260000	2	205930000	205940000
2	204320000	204330000	2	205670000	205680000
2	204320000	204330000	2	205930000	205940000
2	205760000	205770000	2	205930000	205940000
1	68120000	68130000	1	69730000	69740000
2	206160000	206170000	2	206260000	206270000
2	206690000	206700000	2	207470000	207480000
2	206690000	206700000	2	208060000	208070000
2	206770000	206780000	2	207720000	207730000
2	206790000	206800000	2	207470000	207480000
2	206970000	206980000	2	207470000	207480000
2	207050000	207060000	2	207460000	207470000
2	207750000	207760000	2	208050000	208060000
2	208380000	208390000	2	209570000	209580000
1	70130000	70140000	1	70500000	70510000
2	208390000	208400000	2	210190000	210200000
2	208390000	208400000	2	209960000	209970000
2	209330000	209340000	2	210200000	210210000
2	209980000	209990000	2	210190000	210200000
2	210440000	210450000	2	211150000	211160000
2	211080000	211090000	2	212560000	212570000
2	211450000	211460000	2	212570000	212580000
2	211740000	211750000	2	212560000	212570000
2	212680000	212690000	2	213240000	213250000
2	213270000	213280000	2	214810000	214820000
2	215450000	215460000	2	215820000	215830000
2	215450000	215460000	2	215920000	215930000
