loopID	loopSource	chr1	start1	end1	chr2
ICE002_100	merged_10k	1	2560000	2570000	1
ICE002_1000	merged_10k	1	25520000	25530000	1
ICE002_10001	merged_10k	2	241950000	241960000	2
ICE002_10002	merged_10k	2	241950000	241960000	2
ICE002_10003	merged_10k	3	60000	70000	3
ICE002_10006	merged_10k	3	530000	540000	3
ICE002_10007	merged_10k	3	540000	550000	3
ICE002_10008	merged_10k	3	620000	630000	3
ICE002_10009	merged_10k	3	620000	630000	3
ICE002_10010	merged_10k	3	880000	890000	3
ICE002_10016	merged_10k	3	3130000	3140000	3
ICE002_10017	merged_10k	3	3190000	3200000	3
ICE002_10018	merged_10k	3	3380000	3390000	3
ICE002_10019	merged_10k	3	3880000	3890000	3
ICE002_1002	merged_10k	1	25560000	25570000	1
ICE002_10021	merged_10k	3	4350000	4360000	3
ICE002_10022	merged_10k	3	4350000	4360000	3
ICE002_10023	merged_10k	3	4350000	4360000	3
ICE002_10024	merged_10k	3	4370000	4380000	3
ICE002_10028	merged_10k	3	4710000	4720000	3
ICE002_1003	merged_10k	1	25600000	25610000	1
ICE002_10030	merged_10k	3	4710000	4720000	3
ICE002_10031	merged_10k	3	4720000	4730000	3
ICE002_10032	merged_10k	3	4720000	4730000	3
ICE002_10033	merged_10k	3	4820000	4830000	3
ICE002_10034	merged_10k	3	4820000	4830000	3
ICE002_10036	merged_10k	3	4830000	4840000	3
ICE002_10038	merged_10k	3	4840000	4850000	3
ICE002_10039	merged_10k	3	4850000	4860000	3
ICE002_10042	merged_10k	3	4870000	4880000	3
ICE002_10043	merged_10k	3	4910000	4920000	3
ICE002_10044	merged_10k	3	4980000	4990000	3
ICE002_10045	merged_10k	3	4980000	4990000	3
ICE002_10049	merged_10k	3	5130000	5140000	3
ICE002_10050	merged_10k	3	5130000	5140000	3
ICE002_10053	merged_10k	3	5220000	5230000	3
ICE002_10054	merged_10k	3	5300000	5310000	3
ICE002_10055	merged_10k	3	6200000	6210000	3
ICE002_10056	merged_10k	3	6400000	6410000	3
ICE002_10057	merged_10k	3	6570000	6580000	3
ICE002_10058	merged_10k	3	6920000	6930000	3
ICE002_10059	merged_10k	3	8170000	8180000	3
ICE002_10060	merged_10k	3	8240000	8250000	3
ICE002_10061	merged_10k	3	8300000	8310000	3
ICE002_10062	merged_10k	3	8320000	8330000	3
ICE002_10063	merged_10k	3	8320000	8330000	3
ICE002_10064	merged_10k	3	8330000	8340000	3
ICE002_10065	merged_10k	3	8330000	8340000	3
ICE002_10066	merged_10k	3	8340000	8350000	3
ICE002_10067	merged_10k	3	8340000	8350000	3
ICE002_10068	merged_10k	3	8440000	8450000	3
ICE002_10069	merged_10k	3	8690000	8700000	3
ICE002_10070	merged_10k	3	8930000	8940000	3
ICE002_10071	merged_10k	3	8940000	8950000	3
ICE002_10075	merged_10k	3	8970000	8980000	3
ICE002_10076	merged_10k	3	8970000	8980000	3
ICE002_10077	merged_10k	3	8970000	8980000	3
ICE002_10078	merged_10k	3	8970000	8980000	3
ICE002_10079	merged_10k	3	8980000	8990000	3
ICE002_10080	merged_10k	3	8980000	8990000	3
ICE002_10081	merged_10k	3	8980000	8990000	3
ICE002_10082	merged_10k	3	9060000	9070000	3
ICE002_10083	merged_10k	3	9350000	9360000	3
ICE002_10089	merged_10k	3	9500000	9510000	3
ICE002_10090	merged_10k	3	9500000	9510000	3
ICE002_10092	merged_10k	3	9580000	9590000	3
ICE002_1010	merged_10k	1	25640000	25650000	1
ICE002_10101	merged_10k	3	9750000	9760000	3
ICE002_10102	merged_10k	3	9780000	9790000	3
ICE002_1011	merged_10k	1	25750000	25760000	1
ICE002_10123	merged_10k	3	10050000	10060000	3
ICE002_10124	merged_10k	3	10050000	10060000	3
ICE002_10125	merged_10k	3	10050000	10060000	3
ICE002_10136	merged_10k	3	10330000	10340000	3
ICE002_10137	merged_10k	3	10340000	10350000	3
ICE002_10138	merged_10k	3	10340000	10350000	3
ICE002_10139	merged_10k	3	10340000	10350000	3
ICE002_10140	merged_10k	3	10350000	10360000	3
ICE002_10141	merged_10k	3	10350000	10360000	3
ICE002_10142	merged_10k	3	10410000	10420000	3
ICE002_10143	merged_10k	3	10750000	10760000	3
ICE002_10144	merged_10k	3	10750000	10760000	3
ICE002_10145	merged_10k	3	10750000	10760000	3
ICE002_10146	merged_10k	3	10750000	10760000	3
ICE002_10147	merged_10k	3	10750000	10760000	3
ICE002_10148	merged_10k	3	10770000	10780000	3
ICE002_10149	merged_10k	3	10940000	10950000	3
ICE002_1015	merged_10k	1	25890000	25900000	1
ICE002_10150	merged_10k	3	10940000	10950000	3
ICE002_10151	merged_10k	3	10940000	10950000	3
ICE002_10152	merged_10k	3	11060000	11070000	3
ICE002_10153	merged_10k	3	11060000	11070000	3
ICE002_10154	merged_10k	3	11060000	11070000	3
ICE002_10156	merged_10k	3	11230000	11240000	3
