loopID	loopSource	chr1	start1	end1	chr2
ICE_ER_1	ER_10k	1	1940000	1950000	1
ICE_ER_10	ER_10k	1	3910000	3920000	1
ICE_ER_1000	ER_10k	2	240000	250000	2
ICE_ER_10000	ER_10k	17	12170000	12180000	17
ICE_ER_10001	ER_10k	17	12180000	12190000	17
ICE_ER_10002	ER_10k	17	12180000	12190000	17
ICE_ER_10003	ER_10k	17	12250000	12260000	17
ICE_ER_10004	ER_10k	17	12250000	12260000	17
ICE_ER_10005	ER_10k	17	12750000	12760000	17
ICE_ER_10012	ER_10k	17	15250000	15260000	17
ICE_ER_10013	ER_10k	17	15250000	15260000	17
ICE_ER_10015	ER_10k	17	17350000	17360000	17
ICE_ER_10018	ER_10k	17	17670000	17680000	17
ICE_ER_10019	ER_10k	17	17680000	17690000	17
ICE_ER_10020	ER_10k	17	19350000	19360000	17
ICE_ER_10022	ER_10k	17	38980000	38990000	17
ICE_ER_10023	ER_10k	17	40010000	40020000	17
ICE_ER_10024	ER_10k	17	40020000	40030000	17
ICE_ER_10025	ER_10k	17	40360000	40370000	17
ICE_ER_10027	ER_10k	17	40550000	40560000	17
ICE_ER_10030	ER_10k	17	40910000	40920000	17
ICE_ER_10031	ER_10k	17	41730000	41740000	17
ICE_ER_10032	ER_10k	17	42320000	42330000	17
ICE_ER_10033	ER_10k	17	42710000	42720000	17
ICE_ER_10034	ER_10k	17	43940000	43950000	17
ICE_ER_10035	ER_10k	17	43940000	43950000	17
ICE_ER_10036	ER_10k	17	44200000	44210000	17
ICE_ER_10037	ER_10k	17	44770000	44780000	17
ICE_ER_10038	ER_10k	17	44770000	44780000	17
ICE_ER_10039	ER_10k	17	44780000	44790000	17
ICE_ER_1004	ER_10k	2	1580000	1590000	2
ICE_ER_10040	ER_10k	17	45270000	45280000	17
ICE_ER_10041	ER_10k	17	47150000	47160000	17
ICE_ER_10042	ER_10k	17	47670000	47680000	17
ICE_ER_10043	ER_10k	17	48020000	48030000	17
ICE_ER_10044	ER_10k	17	48330000	48340000	17
ICE_ER_10048	ER_10k	17	49400000	49410000	17
ICE_ER_10049	ER_10k	17	49560000	49570000	17
ICE_ER_1005	ER_10k	2	1860000	1870000	2
ICE_ER_10050	ER_10k	17	49570000	49580000	17
ICE_ER_10051	ER_10k	17	49570000	49580000	17
ICE_ER_10052	ER_10k	17	49570000	49580000	17
ICE_ER_10053	ER_10k	17	49860000	49870000	17
ICE_ER_10055	ER_10k	17	50990000	51000000	17
ICE_ER_10059	ER_10k	17	54990000	55000000	17
ICE_ER_1006	ER_10k	2	1850000	1860000	2
ICE_ER_10060	ER_10k	17	54990000	55000000	17
ICE_ER_10062	ER_10k	17	55530000	55540000	17
ICE_ER_10063	ER_10k	17	55750000	55760000	17
ICE_ER_10065	ER_10k	17	56590000	56600000	17
ICE_ER_10068	ER_10k	17	57120000	57130000	17
ICE_ER_10069	ER_10k	17	57130000	57140000	17
ICE_ER_1007	ER_10k	2	1860000	1870000	2
ICE_ER_10070	ER_10k	17	57240000	57250000	17
ICE_ER_10071	ER_10k	17	57240000	57250000	17
ICE_ER_10072	ER_10k	17	57250000	57260000	17
ICE_ER_10073	ER_10k	17	57850000	57860000	17
ICE_ER_10074	ER_10k	17	57860000	57870000	17
ICE_ER_10075	ER_10k	17	58300000	58310000	17
ICE_ER_10076	ER_10k	17	58280000	58290000	17
ICE_ER_1008	ER_10k	2	1890000	1900000	2
ICE_ER_10084	ER_10k	17	60710000	60720000	17
ICE_ER_10085	ER_10k	17	60720000	60730000	17
ICE_ER_10089	ER_10k	17	60990000	61000000	17
ICE_ER_1009	ER_10k	2	1890000	1900000	2
ICE_ER_10090	ER_10k	17	61410000	61420000	17
ICE_ER_10092	ER_10k	17	62690000	62700000	17
ICE_ER_10093	ER_10k	17	62700000	62710000	17
ICE_ER_10094	ER_10k	17	63420000	63430000	17
ICE_ER_10095	ER_10k	17	64030000	64040000	17
ICE_ER_10097	ER_10k	17	64310000	64320000	17
ICE_ER_10103	ER_10k	17	65550000	65560000	17
ICE_ER_10107	ER_10k	17	67370000	67380000	17
ICE_ER_10108	ER_10k	17	67370000	67380000	17
ICE_ER_10109	ER_10k	17	67370000	67380000	17
ICE_ER_10113	ER_10k	17	67960000	67970000	17
ICE_ER_10114	ER_10k	17	68050000	68060000	17
ICE_ER_10115	ER_10k	17	68180000	68190000	17
ICE_ER_10116	ER_10k	17	68240000	68250000	17
