loopID	loopSource	chr1	start1	end1	chr2
ICE_KMT2A_1	KMT2Ar_10k	1	1950000	1960000	1
ICE_KMT2A_10	KMT2Ar_10k	1	5510000	5520000	1
ICE_KMT2A_1002	KMT2Ar_10k	2	134230000	134240000	2
ICE_KMT2A_1003	KMT2Ar_10k	2	134960000	134970000	2
ICE_KMT2A_1004	KMT2Ar_10k	2	134990000	135000000	2
ICE_KMT2A_1006	KMT2Ar_10k	2	135900000	135910000	2
ICE_KMT2A_1009	KMT2Ar_10k	2	135990000	136000000	2
ICE_KMT2A_101	KMT2Ar_10k	1	52410000	52420000	1
ICE_KMT2A_1011	KMT2Ar_10k	2	136130000	136140000	2
ICE_KMT2A_1012	KMT2Ar_10k	2	136420000	136430000	2
ICE_KMT2A_1013	KMT2Ar_10k	2	137860000	137870000	2
ICE_KMT2A_1014	KMT2Ar_10k	2	137940000	137950000	2
ICE_KMT2A_1015	KMT2Ar_10k	2	142160000	142170000	2
ICE_KMT2A_1016	KMT2Ar_10k	2	142170000	142180000	2
ICE_KMT2A_1017	KMT2Ar_10k	2	142670000	142680000	2
ICE_KMT2A_1018	KMT2Ar_10k	2	143030000	143040000	2
ICE_KMT2A_1022	KMT2Ar_10k	2	144660000	144670000	2
ICE_KMT2A_1023	KMT2Ar_10k	2	146730000	146740000	2
ICE_KMT2A_1024	KMT2Ar_10k	2	147080000	147090000	2
ICE_KMT2A_1027	KMT2Ar_10k	2	147940000	147950000	2
ICE_KMT2A_103	KMT2Ar_10k	1	53480000	53490000	1
ICE_KMT2A_1030	KMT2Ar_10k	2	149020000	149030000	2
ICE_KMT2A_1031	KMT2Ar_10k	2	149590000	149600000	2
ICE_KMT2A_1033	KMT2Ar_10k	2	149600000	149610000	2
ICE_KMT2A_1034	KMT2Ar_10k	2	149600000	149610000	2
ICE_KMT2A_1036	KMT2Ar_10k	2	151270000	151280000	2
ICE_KMT2A_1037	KMT2Ar_10k	2	151270000	151280000	2
ICE_KMT2A_1038	KMT2Ar_10k	2	151430000	151440000	2
ICE_KMT2A_1039	KMT2Ar_10k	2	151450000	151460000	2
