loopID	loopSource	chr1	start1	end1	chr2
ICE_TP_1	TP_10k	1	2200000	2210000	1
ICE_TP_10	TP_10k	1	6480000	6490000	1
ICE_TP_100	TP_10k	1	36090000	36100000	1
ICE_TP_1008	TP_10k	2	79020000	79030000	2
ICE_TP_1012	TP_10k	2	80320000	80330000	2
ICE_TP_1019	TP_10k	2	85420000	85430000	2
ICE_TP_1020	TP_10k	2	85630000	85640000	2
ICE_TP_1024	TP_10k	2	86540000	86550000	2
ICE_TP_1025	TP_10k	2	86610000	86620000	2
ICE_TP_1026	TP_10k	2	86620000	86630000	2
ICE_TP_103	TP_10k	1	37460000	37470000	1
ICE_TP_1030	TP_10k	2	88580000	88590000	2
ICE_TP_1031	TP_10k	2	88590000	88600000	2
ICE_TP_1032	TP_10k	2	96300000	96310000	2
ICE_TP_1033	TP_10k	2	96850000	96860000	2
ICE_TP_1034	TP_10k	2	97680000	97690000	2
ICE_TP_1036	TP_10k	2	98410000	98420000	2
ICE_TP_1038	TP_10k	2	99160000	99170000	2
ICE_TP_1039	TP_10k	2	99480000	99490000	2
ICE_TP_104	TP_10k	1	37580000	37590000	1
ICE_TP_1042	TP_10k	2	99560000	99570000	2
ICE_TP_1045	TP_10k	2	100600000	100610000	2
ICE_TP_1046	TP_10k	2	101010000	101020000	2
ICE_TP_1048	TP_10k	2	101020000	101030000	2
ICE_TP_1049	TP_10k	2	101340000	101350000	2
ICE_TP_105	TP_10k	1	37880000	37890000	1
ICE_TP_1051	TP_10k	2	101410000	101420000	2
ICE_TP_1057	TP_10k	2	102470000	102480000	2
ICE_TP_1061	TP_10k	2	105340000	105350000	2
ICE_TP_1064	TP_10k	2	105360000	105370000	2
ICE_TP_1067	TP_10k	2	106630000	106640000	2
ICE_TP_1069	TP_10k	2	113710000	113720000	2
ICE_TP_1077	TP_10k	2	120340000	120350000	2
ICE_TP_1078	TP_10k	2	120340000	120350000	2
ICE_TP_108	TP_10k	1	39100000	39110000	1
ICE_TP_1081	TP_10k	2	121530000	121540000	2
ICE_TP_1085	TP_10k	2	127060000	127070000	2
ICE_TP_1088	TP_10k	2	128170000	128180000	2
ICE_TP_1089	TP_10k	2	128310000	128320000	2
ICE_TP_1090	TP_10k	2	128310000	128320000	2
ICE_TP_1092	TP_10k	2	131030000	131040000	2
ICE_TP_1094	TP_10k	2	133510000	133520000	2
ICE_TP_1097	TP_10k	2	134110000	134120000	2
ICE_TP_1098	TP_10k	2	134120000	134130000	2
ICE_TP_110	TP_10k	1	40140000	40150000	1
ICE_TP_1100	TP_10k	2	134450000	134460000	2
ICE_TP_1103	TP_10k	2	135000000	135010000	2
ICE_TP_1104	TP_10k	2	135910000	135920000	2
ICE_TP_1105	TP_10k	2	135910000	135920000	2
ICE_TP_1106	TP_10k	2	135920000	135930000	2
ICE_TP_1109	TP_10k	2	136110000	136120000	2
ICE_TP_1116	TP_10k	2	143030000	143040000	2
ICE_TP_1119	TP_10k	2	144510000	144520000	2
ICE_TP_1120	TP_10k	2	144520000	144530000	2
ICE_TP_1124	TP_10k	2	147930000	147940000	2
ICE_TP_1126	TP_10k	2	147990000	148000000	2
ICE_TP_1129	TP_10k	2	149580000	149590000	2
ICE_TP_113	TP_10k	1	41570000	41580000	1
ICE_TP_1131	TP_10k	2	149600000	149610000	2
ICE_TP_1134	TP_10k	2	151270000	151280000	2
ICE_TP_1135	TP_10k	2	151270000	151280000	2
ICE_TP_1138	TP_10k	2	151820000	151830000	2
ICE_TP_114	TP_10k	1	42580000	42590000	1
ICE_TP_1140	TP_10k	2	152030000	152040000	2
ICE_TP_1142	TP_10k	2	152170000	152180000	2
ICE_TP_1145	TP_10k	2	152330000	152340000	2
ICE_TP_1147	TP_10k	2	154400000	154410000	2
ICE_TP_115	TP_10k	1	42780000	42790000	1
ICE_TP_1153	TP_10k	2	156330000	156340000	2
ICE_TP_1154	TP_10k	2	157300000	157310000	2
ICE_TP_1156	TP_10k	2	157320000	157330000	2
ICE_TP_1157	TP_10k	2	157320000	157330000	2
ICE_TP_1158	TP_10k	2	157490000	157500000	2
ICE_TP_1159	TP_10k	2	157480000	157490000	2
ICE_TP_1160	TP_10k	2	157770000	157780000	2
ICE_TP_1161	TP_10k	2	157770000	157780000	2
ICE_TP_1162	TP_10k	2	158020000	158030000	2
ICE_TP_1163	TP_10k	2	158030000	158040000	2
ICE_TP_1165	TP_10k	2	159610000	159620000	2
ICE_TP_1166	TP_10k	2	160250000	160260000	2
ICE_TP_1169	TP_10k	2	161220000	161230000	2
ICE_TP_1170	TP_10k	2	161220000	161230000	2
ICE_TP_1171	TP_10k	2	161240000	161250000	2
ICE_TP_1174	TP_10k	2	162150000	162160000	2
ICE_TP_1180	TP_10k	2	186500000	186510000	2
ICE_TP_1186	TP_10k	2	187490000	187500000	2
ICE_TP_1189	TP_10k	2	188520000	188530000	2
ICE_TP_119	TP_10k	1	43520000	43530000	1
ICE_TP_1190	TP_10k	2	189440000	189450000	2
ICE_TP_1191	TP_10k	2	189660000	189670000	2
ICE_TP_1192	TP_10k	2	189660000	189670000	2
ICE_TP_1193	TP_10k	2	189660000	189670000	2
ICE_TP_1194	TP_10k	2	189660000	189670000	2
ICE_TP_1195	TP_10k	2	189790000	189800000	2
ICE_TP_1196	TP_10k	2	189770000	189780000	2
ICE_TP_1197	TP_10k	2	189780000	189790000	2
ICE_TP_1199	TP_10k	2	190520000	190530000	2
ICE_TP_120	TP_10k	1	43530000	43540000	1
ICE_TP_1200	TP_10k	2	190780000	190790000	2
ICE_TP_1209	TP_10k	2	195660000	195670000	2
ICE_TP_121	TP_10k	1	44720000	44730000	1
ICE_TP_1210	TP_10k	2	196060000	196070000	2
ICE_TP_1212	TP_10k	2	196080000	196090000	2
ICE_TP_1213	TP_10k	2	196080000	196090000	2
ICE_TP_1215	TP_10k	2	196290000	196300000	2
ICE_TP_1217	TP_10k	2	196290000	196300000	2
ICE_TP_1218	TP_10k	2	196770000	196780000	2
ICE_TP_122	TP_10k	1	45010000	45020000	1
ICE_TP_1220	TP_10k	2	197110000	197120000	2
ICE_TP_1222	TP_10k	2	197190000	197200000	2
ICE_TP_1223	TP_10k	2	197800000	197810000	2
ICE_TP_1226	TP_10k	2	198310000	198320000	2
ICE_TP_123	TP_10k	1	45010000	45020000	1
ICE_TP_1232	TP_10k	2	200510000	200520000	2
ICE_TP_1233	TP_10k	2	200580000	200590000	2
ICE_TP_1234	TP_10k	2	200900000	200910000	2
ICE_TP_1236	TP_10k	2	201230000	201240000	2
ICE_TP_1239	TP_10k	2	201790000	201800000	2
ICE_TP_124	TP_10k	1	45010000	45020000	1
ICE_TP_1240	TP_10k	2	201850000	201860000	2
ICE_TP_1242	TP_10k	2	202580000	202590000	2
ICE_TP_1245	TP_10k	2	203230000	203240000	2
ICE_TP_1253	TP_10k	2	205760000	205770000	2
ICE_TP_1254	TP_10k	2	206160000	206170000	2
ICE_TP_1257	TP_10k	2	206770000	206780000	2
ICE_TP_1258	TP_10k	2	206770000	206780000	2
ICE_TP_1261	TP_10k	2	207530000	207540000	2
ICE_TP_1262	TP_10k	2	207530000	207540000	2
ICE_TP_1263	TP_10k	2	207740000	207750000	2
ICE_TP_1264	TP_10k	2	208260000	208270000	2
ICE_TP_1267	TP_10k	2	208390000	208400000	2
ICE_TP_1268	TP_10k	2	208390000	208400000	2
ICE_TP_127	TP_10k	1	46030000	46040000	1
ICE_TP_1270	TP_10k	2	209320000	209330000	2
ICE_TP_1271	TP_10k	2	209330000	209340000	2
ICE_TP_1273	TP_10k	2	209420000	209430000	2
ICE_TP_1274	TP_10k	2	209420000	209430000	2
ICE_TP_1278	TP_10k	2	210440000	210450000	2
ICE_TP_1279	TP_10k	2	210440000	210450000	2
ICE_TP_128	TP_10k	1	46400000	46410000	1
ICE_TP_1289	TP_10k	2	212770000	212780000	2
ICE_TP_129	TP_10k	1	46430000	46440000	1
ICE_TP_1290	TP_10k	2	213030000	213040000	2
ICE_TP_1291	TP_10k	2	213140000	213150000	2
ICE_TP_1294	TP_10k	2	213270000	213280000	2
ICE_TP_1298	TP_10k	2	216520000	216530000	2
ICE_TP_1299	TP_10k	2	216520000	216530000	2
ICE_TP_130	TP_10k	1	47190000	47200000	1
ICE_TP_1300	TP_10k	2	216520000	216530000	2
ICE_TP_1303	TP_10k	2	216690000	216700000	2
ICE_TP_1304	TP_10k	2	217790000	217800000	2
ICE_TP_1310	TP_10k	2	164990000	165000000	2
ICE_TP_1312	TP_10k	2	165000000	165010000	2
ICE_TP_1313	TP_10k	2	165000000	165010000	2
ICE_TP_1314	TP_10k	2	165400000	165410000	2
ICE_TP_1315	TP_10k	2	166370000	166380000	2
ICE_TP_1317	TP_10k	2	166530000	166540000	2
ICE_TP_1318	TP_10k	2	167280000	167290000	2
ICE_TP_1319	TP_10k	2	167960000	167970000	2
ICE_TP_132	TP_10k	1	47430000	47440000	1
ICE_TP_1320	TP_10k	2	168130000	168140000	2
ICE_TP_1321	TP_10k	2	168150000	168160000	2
ICE_TP_1324	TP_10k	2	168340000	168350000	2
ICE_TP_1325	TP_10k	2	168960000	168970000	2
ICE_TP_1330	TP_10k	2	169450000	169460000	2
ICE_TP_1331	TP_10k	2	169530000	169540000	2
ICE_TP_1332	TP_10k	2	169530000	169540000	2
ICE_TP_1333	TP_10k	2	169580000	169590000	2
ICE_TP_1334	TP_10k	2	169810000	169820000	2
ICE_TP_1335	TP_10k	2	169930000	169940000	2
ICE_TP_1336	TP_10k	2	170230000	170240000	2
ICE_TP_1339	TP_10k	2	170710000	170720000	2
ICE_TP_1340	TP_10k	2	170810000	170820000	2
ICE_TP_1341	TP_10k	2	170950000	170960000	2
ICE_TP_1342	TP_10k	2	170970000	170980000	2
ICE_TP_1343	TP_10k	2	171160000	171170000	2
ICE_TP_1346	TP_10k	2	171700000	171710000	2
ICE_TP_1347	TP_10k	2	171700000	171710000	2
ICE_TP_1348	TP_10k	2	171700000	171710000	2
ICE_TP_1350	TP_10k	2	172170000	172180000	2
ICE_TP_1351	TP_10k	2	172580000	172590000	2
ICE_TP_1354	TP_10k	2	172800000	172810000	2
ICE_TP_1355	TP_10k	2	172860000	172870000	2
ICE_TP_1356	TP_10k	2	173020000	173030000	2
ICE_TP_1357	TP_10k	2	173020000	173030000	2
ICE_TP_1358	TP_10k	2	173210000	173220000	2
ICE_TP_1360	TP_10k	2	173400000	173410000	2
ICE_TP_1361	TP_10k	2	174330000	174340000	2
ICE_TP_1362	TP_10k	2	174460000	174470000	2
ICE_TP_1363	TP_10k	2	174580000	174590000	2
ICE_TP_1364	TP_10k	2	174700000	174710000	2
ICE_TP_1367	TP_10k	2	175010000	175020000	2
ICE_TP_1368	TP_10k	2	175190000	175200000	2
ICE_TP_1370	TP_10k	2	175360000	175370000	2
ICE_TP_1373	TP_10k	2	176120000	176130000	2
ICE_TP_1374	TP_10k	2	176120000	176130000	2
ICE_TP_1375	TP_10k	2	176120000	176130000	2
ICE_TP_1376	TP_10k	2	176120000	176130000	2
ICE_TP_1377	TP_10k	2	176130000	176140000	2
ICE_TP_1378	TP_10k	2	176130000	176140000	2
ICE_TP_1379	TP_10k	2	176130000	176140000	2
ICE_TP_138	TP_10k	1	50370000	50380000	1
ICE_TP_1383	TP_10k	2	177220000	177230000	2
ICE_TP_1384	TP_10k	2	177330000	177340000	2
ICE_TP_1385	TP_10k	2	177330000	177340000	2
ICE_TP_1387	TP_10k	2	178110000	178120000	2
ICE_TP_1388	TP_10k	2	178110000	178120000	2
ICE_TP_139	TP_10k	1	50370000	50380000	1
ICE_TP_1390	TP_10k	2	178410000	178420000	2
ICE_TP_1391	TP_10k	2	178490000	178500000	2
ICE_TP_1394	TP_10k	2	178790000	178800000	2
ICE_TP_1397	TP_10k	2	179220000	179230000	2
ICE_TP_1398	TP_10k	2	180120000	180130000	2
ICE_TP_1401	TP_10k	2	181070000	181080000	2
ICE_TP_1402	TP_10k	2	181080000	181090000	2
ICE_TP_1404	TP_10k	2	181300000	181310000	2
ICE_TP_1405	TP_10k	2	217780000	217790000	2
ICE_TP_1406	TP_10k	2	218280000	218290000	2
ICE_TP_1407	TP_10k	2	218290000	218300000	2
ICE_TP_1408	TP_10k	2	219160000	219170000	2
ICE_TP_1409	TP_10k	2	219160000	219170000	2
ICE_TP_141	TP_10k	1	50770000	50780000	1
ICE_TP_1410	TP_10k	2	219400000	219410000	2
ICE_TP_1411	TP_10k	2	219730000	219740000	2
ICE_TP_1412	TP_10k	2	220680000	220690000	2
ICE_TP_1414	TP_10k	2	222700000	222710000	2
ICE_TP_1415	TP_10k	2	222860000	222870000	2
ICE_TP_1419	TP_10k	2	223830000	223840000	2
ICE_TP_1420	TP_10k	2	223950000	223960000	2
ICE_TP_1423	TP_10k	2	223980000	223990000	2
ICE_TP_1424	TP_10k	2	223980000	223990000	2
ICE_TP_1425	TP_10k	2	223980000	223990000	2
