loopID	loopSource	chr1	start1	end1	chr2
ICE_iAMP_100	iAMP_10k	1	56410000	56420000	1
ICE_iAMP_1004	iAMP_10k	2	85420000	85430000	2
ICE_iAMP_1005	iAMP_10k	2	85640000	85650000	2
ICE_iAMP_1008	iAMP_10k	2	88030000	88040000	2
ICE_iAMP_1016	iAMP_10k	2	115160000	115170000	2
ICE_iAMP_1021	iAMP_10k	2	117830000	117840000	2
ICE_iAMP_103	iAMP_10k	1	56830000	56840000	1
ICE_iAMP_1030	iAMP_10k	2	119750000	119760000	2
ICE_iAMP_1033	iAMP_10k	2	120340000	120350000	2
ICE_iAMP_1034	iAMP_10k	2	120340000	120350000	2
ICE_iAMP_1035	iAMP_10k	2	120340000	120350000	2
ICE_iAMP_1037	iAMP_10k	2	121400000	121410000	2
ICE_iAMP_1038	iAMP_10k	2	121530000	121540000	2
ICE_iAMP_1056	iAMP_10k	2	133510000	133520000	2
ICE_iAMP_1059	iAMP_10k	2	134110000	134120000	2
ICE_iAMP_1060	iAMP_10k	2	134120000	134130000	2
ICE_iAMP_1062	iAMP_10k	2	134450000	134460000	2
ICE_iAMP_1064	iAMP_10k	2	134920000	134930000	2
ICE_iAMP_1066	iAMP_10k	2	135000000	135010000	2
ICE_iAMP_1067	iAMP_10k	2	135910000	135920000	2
ICE_iAMP_1068	iAMP_10k	2	135910000	135920000	2
ICE_iAMP_1069	iAMP_10k	2	135920000	135930000	2
ICE_iAMP_107	iAMP_10k	1	58680000	58690000	1
ICE_iAMP_1070	iAMP_10k	2	135980000	135990000	2
ICE_iAMP_1071	iAMP_10k	2	135990000	136000000	2
ICE_iAMP_1079	iAMP_10k	2	143100000	143110000	2
ICE_iAMP_1081	iAMP_10k	2	144510000	144520000	2
ICE_iAMP_1082	iAMP_10k	2	144510000	144520000	2
ICE_iAMP_1083	iAMP_10k	2	144520000	144530000	2
ICE_iAMP_1088	iAMP_10k	2	147950000	147960000	2
ICE_iAMP_109	iAMP_10k	1	58770000	58780000	1
ICE_iAMP_1090	iAMP_10k	2	147980000	147990000	2
ICE_iAMP_1091	iAMP_10k	2	148520000	148530000	2
ICE_iAMP_1094	iAMP_10k	2	149590000	149600000	2
ICE_iAMP_1097	iAMP_10k	2	151260000	151270000	2
ICE_iAMP_1099	iAMP_10k	2	151280000	151290000	2
ICE_iAMP_11	iAMP_10k	1	23090000	23100000	1
ICE_iAMP_1103	iAMP_10k	2	152030000	152040000	2
ICE_iAMP_1104	iAMP_10k	2	152040000	152050000	2
ICE_iAMP_1105	iAMP_10k	2	152040000	152050000	2
ICE_iAMP_1107	iAMP_10k	2	152180000	152190000	2
ICE_iAMP_1109	iAMP_10k	2	152330000	152340000	2
ICE_iAMP_1112	iAMP_10k	2	154400000	154410000	2
ICE_iAMP_1120	iAMP_10k	2	156330000	156340000	2
ICE_iAMP_1121	iAMP_10k	2	156330000	156340000	2
ICE_iAMP_1122	iAMP_10k	2	156330000	156340000	2
ICE_iAMP_1123	iAMP_10k	2	157300000	157310000	2
ICE_iAMP_1126	iAMP_10k	2	157320000	157330000	2
ICE_iAMP_1127	iAMP_10k	2	157500000	157510000	2
ICE_iAMP_1130	iAMP_10k	2	157770000	157780000	2
ICE_iAMP_1132	iAMP_10k	2	158020000	158030000	2
ICE_iAMP_1137	iAMP_10k	2	158180000	158190000	2
ICE_iAMP_1142	iAMP_10k	2	161230000	161240000	2
ICE_iAMP_1147	iAMP_10k	2	162140000	162150000	2
ICE_iAMP_1161	iAMP_10k	2	186500000	186510000	2
ICE_iAMP_1163	iAMP_10k	2	187490000	187500000	2
ICE_iAMP_1164	iAMP_10k	2	187490000	187500000	2
ICE_iAMP_1168	iAMP_10k	2	188520000	188530000	2
ICE_iAMP_1169	iAMP_10k	2	188520000	188530000	2
ICE_iAMP_1171	iAMP_10k	2	189660000	189670000	2
ICE_iAMP_1172	iAMP_10k	2	189790000	189800000	2
ICE_iAMP_1173	iAMP_10k	2	190080000	190090000	2
ICE_iAMP_1174	iAMP_10k	2	190090000	190100000	2
ICE_iAMP_1176	iAMP_10k	2	190520000	190530000	2
ICE_iAMP_1177	iAMP_10k	2	190780000	190790000	2
ICE_iAMP_1178	iAMP_10k	2	191050000	191060000	2
ICE_iAMP_1188	iAMP_10k	2	195660000	195670000	2
ICE_iAMP_1193	iAMP_10k	2	196740000	196750000	2
ICE_iAMP_1194	iAMP_10k	2	196780000	196790000	2
ICE_iAMP_1195	iAMP_10k	2	197110000	197120000	2
ICE_iAMP_1197	iAMP_10k	2	197190000	197200000	2
ICE_iAMP_1198	iAMP_10k	2	197800000	197810000	2
ICE_iAMP_1199	iAMP_10k	2	197800000	197810000	2
ICE_iAMP_12	iAMP_10k	1	23550000	23560000	1
ICE_iAMP_1202	iAMP_10k	2	198310000	198320000	2
ICE_iAMP_1206	iAMP_10k	2	163160000	163170000	2
ICE_iAMP_121	iAMP_10k	1	61950000	61960000	1
ICE_iAMP_1211	iAMP_10k	2	165000000	165010000	2
ICE_iAMP_1212	iAMP_10k	2	165000000	165010000	2
ICE_iAMP_1213	iAMP_10k	2	165000000	165010000	2
ICE_iAMP_1215	iAMP_10k	2	165230000	165240000	2
ICE_iAMP_1216	iAMP_10k	2	165400000	165410000	2
ICE_iAMP_1217	iAMP_10k	2	166180000	166190000	2
ICE_iAMP_1218	iAMP_10k	2	166530000	166540000	2
ICE_iAMP_1221	iAMP_10k	2	167130000	167140000	2
ICE_iAMP_1222	iAMP_10k	2	167270000	167280000	2
ICE_iAMP_1223	iAMP_10k	2	167960000	167970000	2
ICE_iAMP_1224	iAMP_10k	2	168140000	168150000	2
ICE_iAMP_1227	iAMP_10k	2	168160000	168170000	2
ICE_iAMP_1228	iAMP_10k	2	168250000	168260000	2
ICE_iAMP_1229	iAMP_10k	2	168340000	168350000	2
ICE_iAMP_1231	iAMP_10k	2	168960000	168970000	2
ICE_iAMP_1237	iAMP_10k	2	170230000	170240000	2
ICE_iAMP_1238	iAMP_10k	2	170330000	170340000	2
ICE_iAMP_1241	iAMP_10k	2	170970000	170980000	2
ICE_iAMP_1242	iAMP_10k	2	171160000	171170000	2
ICE_iAMP_1244	iAMP_10k	2	171580000	171590000	2
ICE_iAMP_1245	iAMP_10k	2	171700000	171710000	2
ICE_iAMP_1246	iAMP_10k	2	171700000	171710000	2
ICE_iAMP_1247	iAMP_10k	2	171800000	171810000	2
ICE_iAMP_1249	iAMP_10k	2	172170000	172180000	2
ICE_iAMP_1252	iAMP_10k	2	173020000	173030000	2
ICE_iAMP_1253	iAMP_10k	2	173020000	173030000	2
ICE_iAMP_1258	iAMP_10k	2	174580000	174590000	2
ICE_iAMP_1259	iAMP_10k	2	174700000	174710000	2
ICE_iAMP_126	iAMP_10k	1	62840000	62850000	1
ICE_iAMP_1260	iAMP_10k	2	174700000	174710000	2
ICE_iAMP_1261	iAMP_10k	2	174760000	174770000	2
ICE_iAMP_1262	iAMP_10k	2	175020000	175030000	2
ICE_iAMP_1263	iAMP_10k	2	175190000	175200000	2
ICE_iAMP_1264	iAMP_10k	2	175300000	175310000	2
ICE_iAMP_1265	iAMP_10k	2	175360000	175370000	2
ICE_iAMP_1266	iAMP_10k	2	176120000	176130000	2
ICE_iAMP_1267	iAMP_10k	2	176120000	176130000	2
ICE_iAMP_1268	iAMP_10k	2	176120000	176130000	2
