chr1	start1	end1	chr2	start2	end2
1	980000	990000	1	1250000	1260000
1	2560000	2570000	1	2570000	2580000
2	241840000	241850000	2	241850000	241860000
3	180000	190000	3	190000	200000
3	190000	200000	3	350000	360000
1	25540000	25550000	1	25790000	25800000
3	3110000	3120000	3	3120000	3130000
3	3120000	3130000	3	3170000	3180000
3	3120000	3130000	3	4300000	4310000
3	3120000	3130000	3	3130000	3140000
3	3120000	3130000	3	3140000	3150000
3	3130000	3140000	3	3160000	3170000
1	25560000	25570000	1	25770000	25780000
3	4300000	4310000	3	4310000	4320000
3	4350000	4360000	3	4630000	4640000
3	4370000	4380000	3	4630000	4640000
3	4460000	4470000	3	4490000	4500000
3	4490000	4500000	3	4500000	4510000
3	4490000	4500000	3	4510000	4520000
3	4710000	4720000	3	5050000	5060000
3	4710000	4720000	3	4970000	4980000
3	4710000	4720000	3	5020000	5030000
3	4720000	4730000	3	5020000	5030000
3	4720000	4730000	3	5050000	5060000
3	4830000	4840000	3	4970000	4980000
3	4840000	4850000	3	4970000	4980000
1	25600000	25610000	1	25810000	25820000
3	4860000	4870000	3	4970000	4980000
3	4980000	4990000	3	5020000	5030000
3	4980000	4990000	3	5010000	5020000
3	5120000	5130000	3	5180000	5190000
3	5120000	5130000	3	5190000	5200000
3	5130000	5140000	3	5180000	5190000
3	5130000	5140000	3	5190000	5200000
1	25610000	25620000	1	25770000	25780000
3	5180000	5190000	3	5190000	5200000
1	25610000	25620000	1	25790000	25800000
1	25610000	25620000	1	25810000	25820000
3	8960000	8970000	3	9390000	9400000
3	8960000	8970000	3	9300000	9310000
3	8960000	8970000	3	9250000	9260000
3	8970000	8980000	3	9060000	9070000
3	8970000	8980000	3	9420000	9430000
1	25610000	25620000	1	25690000	25700000
3	8980000	8990000	3	9060000	9070000
3	9060000	9070000	3	9300000	9310000
3	9350000	9360000	3	9420000	9430000
3	9360000	9370000	3	9390000	9400000
3	9380000	9390000	3	9390000	9400000
3	9390000	9400000	3	9640000	9650000
3	9390000	9400000	3	9400000	9410000
3	9390000	9400000	3	9420000	9430000
1	25610000	25620000	1	25640000	25650000
3	9500000	9510000	3	9640000	9650000
3	9640000	9650000	3	9730000	9740000
3	9640000	9650000	3	9740000	9750000
3	9640000	9650000	3	9790000	9800000
3	9730000	9740000	3	9790000	9800000
3	9730000	9740000	3	9770000	9780000
3	9730000	9740000	3	9740000	9750000
3	9740000	9750000	3	10290000	10300000
1	2570000	2580000	1	2580000	2590000
3	9750000	9760000	3	9790000	9800000
3	9750000	9760000	3	9770000	9780000
3	9780000	9790000	3	10220000	10230000
3	9790000	9800000	3	9800000	9810000
3	9840000	9850000	3	10000000	10010000
3	9840000	9850000	3	10320000	10330000
3	9840000	9850000	3	9980000	9990000
3	9840000	9850000	3	9930000	9940000
3	9890000	9900000	3	9930000	9940000
3	9930000	9940000	3	10020000	10030000
3	9930000	9940000	3	9980000	9990000
3	9930000	9940000	3	10000000	10010000
3	9930000	9940000	3	10320000	10330000
3	9930000	9940000	3	9950000	9960000
3	9980000	9990000	3	10220000	10230000
3	9980000	9990000	3	10320000	10330000
3	9980000	9990000	3	10000000	10010000
3	9980000	9990000	3	10020000	10030000
3	10010000	10020000	3	10240000	10250000
3	10010000	10020000	3	10020000	10030000
1	25820000	25830000	1	25850000	25860000
3	10020000	10030000	3	10240000	10250000
3	10020000	10030000	3	10320000	10330000
3	10020000	10030000	3	10220000	10230000
3	10050000	10060000	3	10280000	10290000
3	10050000	10060000	3	10270000	10280000
