loopID	loopSource	chr1	start1	end1	chr2
ICE_DUX4r_100	DUX4r_10k	1	29230000	29240000	1
ICE_DUX4r_1004	DUX4r_10k	2	64650000	64660000	2
ICE_DUX4r_1011	DUX4r_10k	2	66430000	66440000	2
ICE_DUX4r_102	DUX4r_10k	1	30720000	30730000	1
ICE_DUX4r_1023	DUX4r_10k	2	69900000	69910000	2
ICE_DUX4r_1025	DUX4r_10k	2	69910000	69920000	2
ICE_DUX4r_1037	DUX4r_10k	2	71540000	71550000	2
ICE_DUX4r_1048	DUX4r_10k	2	96850000	96860000	2
ICE_DUX4r_1073	DUX4r_10k	2	104030000	104040000	2
ICE_DUX4r_1076	DUX4r_10k	2	105330000	105340000	2
ICE_DUX4r_1084	DUX4r_10k	2	74480000	74490000	2
ICE_DUX4r_110	DUX4r_10k	1	34780000	34790000	1
ICE_DUX4r_1108	DUX4r_10k	2	88040000	88050000	2
ICE_DUX4r_112	DUX4r_10k	1	35450000	35460000	1
ICE_DUX4r_1127	DUX4r_10k	2	120340000	120350000	2
ICE_DUX4r_1128	DUX4r_10k	2	120340000	120350000	2
ICE_DUX4r_1129	DUX4r_10k	2	120340000	120350000	2
ICE_DUX4r_113	DUX4r_10k	1	35570000	35580000	1
ICE_DUX4r_1145	DUX4r_10k	2	130340000	130350000	2
ICE_DUX4r_1163	DUX4r_10k	2	136110000	136120000	2
ICE_DUX4r_1186	DUX4r_10k	2	149600000	149610000	2
ICE_DUX4r_1189	DUX4r_10k	2	151280000	151290000	2
ICE_DUX4r_119	DUX4r_10k	1	37690000	37700000	1
ICE_DUX4r_1192	DUX4r_10k	2	151810000	151820000	2
ICE_DUX4r_1196	DUX4r_10k	2	152040000	152050000	2
ICE_DUX4r_1199	DUX4r_10k	2	152330000	152340000	2
ICE_DUX4r_12	DUX4r_10k	1	6250000	6260000	1
ICE_DUX4r_1209	DUX4r_10k	2	156330000	156340000	2
ICE_DUX4r_1212	DUX4r_10k	2	157320000	157330000	2
ICE_DUX4r_1213	DUX4r_10k	2	157320000	157330000	2
ICE_DUX4r_1253	DUX4r_10k	2	189650000	189660000	2
ICE_DUX4r_1254	DUX4r_10k	2	189660000	189670000	2
ICE_DUX4r_1255	DUX4r_10k	2	189660000	189670000	2
ICE_DUX4r_1256	DUX4r_10k	2	189750000	189760000	2
ICE_DUX4r_126	DUX4r_10k	1	38850000	38860000	1
ICE_DUX4r_1271	DUX4r_10k	2	192190000	192200000	2
ICE_DUX4r_1274	DUX4r_10k	2	195660000	195670000	2
ICE_DUX4r_1280	DUX4r_10k	2	196150000	196160000	2
ICE_DUX4r_1282	DUX4r_10k	2	196290000	196300000	2
ICE_DUX4r_1288	DUX4r_10k	2	197800000	197810000	2
ICE_DUX4r_1291	DUX4r_10k	2	198310000	198320000	2
ICE_DUX4r_1297	DUX4r_10k	2	199950000	199960000	2
ICE_DUX4r_1301	DUX4r_10k	2	200580000	200590000	2
ICE_DUX4r_1302	DUX4r_10k	2	200900000	200910000	2
ICE_DUX4r_1304	DUX4r_10k	2	200960000	200970000	2
ICE_DUX4r_131	DUX4r_10k	1	41570000	41580000	1
ICE_DUX4r_132	DUX4r_10k	1	41510000	41520000	1
ICE_DUX4r_1322	DUX4r_10k	2	205680000	205690000	2
ICE_DUX4r_133	DUX4r_10k	1	42320000	42330000	1
ICE_DUX4r_1332	DUX4r_10k	2	208260000	208270000	2
ICE_DUX4r_134	DUX4r_10k	1	42570000	42580000	1
ICE_DUX4r_1341	DUX4r_10k	2	209420000	209430000	2
ICE_DUX4r_1342	DUX4r_10k	2	209420000	209430000	2
ICE_DUX4r_1354	DUX4r_10k	2	212680000	212690000	2
ICE_DUX4r_1356	DUX4r_10k	2	212770000	212780000	2
ICE_DUX4r_1364	DUX4r_10k	2	216690000	216700000	2
ICE_DUX4r_1365	DUX4r_10k	2	216690000	216700000	2
ICE_DUX4r_1379	DUX4r_10k	2	164990000	165000000	2
ICE_DUX4r_138	DUX4r_10k	1	43220000	43230000	1
ICE_DUX4r_1384	DUX4r_10k	2	165010000	165020000	2
ICE_DUX4r_1385	DUX4r_10k	2	165230000	165240000	2
ICE_DUX4r_1388	DUX4r_10k	2	165400000	165410000	2
ICE_DUX4r_139	DUX4r_10k	1	43520000	43530000	1
ICE_DUX4r_1401	DUX4r_10k	2	169100000	169110000	2
ICE_DUX4r_1403	DUX4r_10k	2	169450000	169460000	2
ICE_DUX4r_1406	DUX4r_10k	2	170230000	170240000	2
ICE_DUX4r_1409	DUX4r_10k	2	171160000	171170000	2
ICE_DUX4r_1433	DUX4r_10k	2	174710000	174720000	2
ICE_DUX4r_1434	DUX4r_10k	2	175020000	175030000	2
ICE_DUX4r_1435	DUX4r_10k	2	175110000	175120000	2
ICE_DUX4r_1436	DUX4r_10k	2	175190000	175200000	2
