chr1	start1	end1	chr2	start2	end2
1	5500000	5510000	1	5910000	5920000
2	64510000	64520000	2	64870000	64880000
2	64580000	64590000	2	65030000	65040000
2	64580000	64590000	2	65570000	65580000
2	64640000	64650000	2	64850000	64860000
2	64900000	64910000	2	65570000	65580000
2	64910000	64920000	2	65030000	65040000
2	65060000	65070000	2	65170000	65180000
2	65060000	65070000	2	65560000	65570000
2	65180000	65190000	2	65560000	65570000
1	29790000	29800000	1	30690000	30700000
2	65260000	65270000	2	65560000	65570000
2	66420000	66430000	2	68020000	68030000
2	68120000	68130000	2	68280000	68290000
2	68120000	68130000	2	68440000	68450000
2	68190000	68200000	2	68430000	68440000
2	68470000	68480000	2	68710000	68720000
2	68470000	68480000	2	68920000	68930000
2	68470000	68480000	2	69310000	69320000
2	68710000	68720000	2	68910000	68920000
2	69020000	69030000	2	69300000	69310000
2	69560000	69570000	2	69710000	69720000
2	69920000	69930000	2	70060000	70070000
2	70310000	70320000	2	70770000	70780000
2	70310000	70320000	2	70860000	70870000
1	30800000	30810000	1	30910000	30920000
2	70320000	70330000	2	70630000	70640000
2	71150000	71160000	2	71510000	71520000
2	71290000	71300000	2	72580000	72590000
2	71290000	71300000	2	72740000	72750000
2	71300000	71310000	2	71500000	71510000
2	71530000	71540000	2	72580000	72590000
2	71540000	71550000	2	72740000	72750000
2	71540000	71550000	2	72860000	72870000
2	71920000	71930000	2	72580000	72590000
2	71920000	71930000	2	72150000	72160000
2	71920000	71930000	2	72740000	72750000
2	72760000	72770000	2	72860000	72870000
2	72770000	72780000	2	73170000	73180000
2	72890000	72900000	2	73160000	73170000
2	97800000	97810000	2	98380000	98390000
1	32510000	32520000	1	32770000	32780000
2	98650000	98660000	2	98830000	98840000
2	99550000	99560000	2	100380000	100390000
2	99560000	99570000	2	100250000	100260000
2	99810000	99820000	2	100240000	100250000
2	100040000	100050000	2	100230000	100240000
1	33110000	33120000	1	33460000	33470000
2	101010000	101020000	2	102440000	102450000
2	101340000	101350000	2	102440000	102450000
2	101410000	101420000	2	102440000	102450000
2	101880000	101890000	2	102440000	102450000
