loopID	loopSource	chr1	start1	end1	chr2
ICE_BA_1	BA_10k	1	37590000	37600000	1
ICE_BA_1009	BA_10k	2	151280000	151290000	2
ICE_BA_1010	BA_10k	2	151280000	151290000	2
ICE_BA_1012	BA_10k	2	151820000	151830000	2
ICE_BA_1016	BA_10k	2	152170000	152180000	2
ICE_BA_1021	BA_10k	2	156330000	156340000	2
ICE_BA_1025	BA_10k	2	157320000	157330000	2
ICE_BA_1038	BA_10k	2	199960000	199970000	2
ICE_BA_1041	BA_10k	2	200580000	200590000	2
ICE_BA_1059	BA_10k	2	206150000	206160000	2
ICE_BA_1068	BA_10k	2	208250000	208260000	2
ICE_BA_1073	BA_10k	2	209420000	209430000	2
ICE_BA_1074	BA_10k	2	209420000	209430000	2
ICE_BA_108	BA_10k	1	70130000	70140000	1
ICE_BA_1080	BA_10k	2	212680000	212690000	2
ICE_BA_1082	BA_10k	2	212770000	212780000	2
ICE_BA_109	BA_10k	1	70220000	70230000	1
ICE_BA_1091	BA_10k	2	216690000	216700000	2
ICE_BA_1092	BA_10k	2	216690000	216700000	2
ICE_BA_1103	BA_10k	2	164990000	165000000	2
ICE_BA_1105	BA_10k	2	165010000	165020000	2
ICE_BA_1111	BA_10k	2	168160000	168170000	2
ICE_BA_1118	BA_10k	2	169450000	169460000	2
ICE_BA_1121	BA_10k	2	169930000	169940000	2
ICE_BA_1122	BA_10k	2	170230000	170240000	2
ICE_BA_1127	BA_10k	2	171160000	171170000	2
ICE_BA_113	BA_10k	1	2190000	2200000	1
ICE_BA_114	BA_10k	1	2420000	2430000	1
ICE_BA_1141	BA_10k	2	173750000	173760000	2
ICE_BA_1142	BA_10k	2	174330000	174340000	2
ICE_BA_1146	BA_10k	2	174710000	174720000	2
ICE_BA_1147	BA_10k	2	175030000	175040000	2
ICE_BA_1148	BA_10k	2	175190000	175200000	2
ICE_BA_1149	BA_10k	2	175360000	175370000	2
ICE_BA_1151	BA_10k	2	175680000	175690000	2
ICE_BA_1153	BA_10k	2	176120000	176130000	2
ICE_BA_1154	BA_10k	2	176120000	176130000	2
ICE_BA_1155	BA_10k	2	176120000	176130000	2
ICE_BA_1156	BA_10k	2	176120000	176130000	2
ICE_BA_1163	BA_10k	2	178110000	178120000	2
ICE_BA_1164	BA_10k	2	178110000	178120000	2
ICE_BA_117	BA_10k	1	3450000	3460000	1
ICE_BA_1176	BA_10k	2	181300000	181310000	2
ICE_BA_1177	BA_10k	2	217780000	217790000	2
ICE_BA_1178	BA_10k	2	218160000	218170000	2
ICE_BA_1179	BA_10k	2	218270000	218280000	2
ICE_BA_118	BA_10k	1	3480000	3490000	1
ICE_BA_1180	BA_10k	2	218290000	218300000	2
ICE_BA_1181	BA_10k	2	218400000	218410000	2
ICE_BA_1183	BA_10k	2	219160000	219170000	2
ICE_BA_1184	BA_10k	2	219160000	219170000	2
ICE_BA_1185	BA_10k	2	219730000	219740000	2
ICE_BA_1187	BA_10k	2	220680000	220690000	2
ICE_BA_12	BA_10k	1	41510000	41520000	1
ICE_BA_1211	BA_10k	2	226030000	226040000	2
ICE_BA_1214	BA_10k	2	227130000	227140000	2
ICE_BA_1215	BA_10k	2	227360000	227370000	2
ICE_BA_1218	BA_10k	2	227880000	227890000	2
ICE_BA_1225	BA_10k	2	230060000	230070000	2
ICE_BA_1229	BA_10k	2	231610000	231620000	2
ICE_BA_1239	BA_10k	2	234280000	234290000	2
ICE_BA_125	BA_10k	1	6240000	6250000	1
ICE_BA_1250	BA_10k	2	235770000	235780000	2
ICE_BA_1255	BA_10k	2	236500000	236510000	2
ICE_BA_1257	BA_10k	2	237150000	237160000	2
ICE_BA_1258	BA_10k	2	237150000	237160000	2
ICE_BA_126	BA_10k	1	6240000	6250000	1
ICE_BA_1262	BA_10k	2	238360000	238370000	2
ICE_BA_1264	BA_10k	2	239030000	239040000	2
ICE_BA_1266	BA_10k	2	240150000	240160000	2
ICE_BA_1268	BA_10k	2	240230000	240240000	2
ICE_BA_1273	BA_10k	3	37990000	38000000	3
ICE_BA_1276	BA_10k	3	39110000	39120000	3
ICE_BA_1277	BA_10k	3	39190000	39200000	3
ICE_BA_1278	BA_10k	3	39400000	39410000	3
ICE_BA_1279	BA_10k	3	39440000	39450000	3
ICE_BA_128	BA_10k	1	6550000	6560000	1
ICE_BA_1283	BA_10k	3	40190000	40200000	3
ICE_BA_1294	BA_10k	3	42770000	42780000	3
ICE_BA_13	BA_10k	1	41570000	41580000	1
ICE_BA_1305	BA_10k	3	45030000	45040000	3
ICE_BA_1308	BA_10k	3	45940000	45950000	3
ICE_BA_1309	BA_10k	3	45940000	45950000	3
ICE_BA_1311	BA_10k	3	46700000	46710000	3
ICE_BA_1312	BA_10k	3	46700000	46710000	3
ICE_BA_1319	BA_10k	3	49540000	49550000	3
ICE_BA_1320	BA_10k	3	49700000	49710000	3
ICE_BA_1321	BA_10k	3	50350000	50360000	3
ICE_BA_1324	BA_10k	3	51390000	51400000	3
ICE_BA_1325	BA_10k	3	51500000	51510000	3
