loopID	loopSource	chr1	start1	end1	chr2
ICE_HeH_10	HeH_10k	1	21230000	21240000	1
ICE_HeH_100	HeH_10k	1	7660000	7670000	1
ICE_HeH_1000	HeH_10k	2	9140000	9150000	2
ICE_HeH_10001	HeH_10k	20	57370000	57380000	20
ICE_HeH_10002	HeH_10k	20	57380000	57390000	20
ICE_HeH_10003	HeH_10k	20	57400000	57410000	20
ICE_HeH_10007	HeH_10k	20	58220000	58230000	20
ICE_HeH_10009	HeH_10k	20	58230000	58240000	20
ICE_HeH_1001	HeH_10k	2	9810000	9820000	2
ICE_HeH_10017	HeH_10k	20	59950000	59960000	20
ICE_HeH_10018	HeH_10k	20	60050000	60060000	20
ICE_HeH_10021	HeH_10k	20	60210000	60220000	20
ICE_HeH_10023	HeH_10k	20	62010000	62020000	20
ICE_HeH_10024	HeH_10k	20	62010000	62020000	20
ICE_HeH_10025	HeH_10k	20	62010000	62020000	20
ICE_HeH_10026	HeH_10k	20	62190000	62200000	20
ICE_HeH_10027	HeH_10k	20	62300000	62310000	20
ICE_HeH_10028	HeH_10k	20	62300000	62310000	20
ICE_HeH_10029	HeH_10k	20	62400000	62410000	20
ICE_HeH_10030	HeH_10k	20	62500000	62510000	20
ICE_HeH_10031	HeH_10k	20	62660000	62670000	20
ICE_HeH_10033	HeH_10k	20	63540000	63550000	20
ICE_HeH_1004	HeH_10k	2	10130000	10140000	2
ICE_HeH_10042	HeH_10k	21	17670000	17680000	21
ICE_HeH_10044	HeH_10k	21	18400000	18410000	21
ICE_HeH_10048	HeH_10k	21	21230000	21240000	21
ICE_HeH_10066	HeH_10k	21	25420000	25430000	21
ICE_HeH_10068	HeH_10k	21	25610000	25620000	21
ICE_HeH_10069	HeH_10k	21	25600000	25610000	21
ICE_HeH_1007	HeH_10k	2	10270000	10280000	2
ICE_HeH_10072	HeH_10k	21	25700000	25710000	21
ICE_HeH_10075	HeH_10k	21	25890000	25900000	21
ICE_HeH_10077	HeH_10k	21	26840000	26850000	21
ICE_HeH_1008	HeH_10k	2	10440000	10450000	2
ICE_HeH_10082	HeH_10k	21	29080000	29090000	21
ICE_HeH_10083	HeH_10k	21	29090000	29100000	21
ICE_HeH_1009	HeH_10k	2	10820000	10830000	2
ICE_HeH_10093	HeH_10k	21	30340000	30350000	21
ICE_HeH_10094	HeH_10k	21	30340000	30350000	21
ICE_HeH_10095	HeH_10k	21	30340000	30350000	21
ICE_HeH_10096	HeH_10k	21	30820000	30830000	21
ICE_HeH_101	HeH_10k	1	7670000	7680000	1
ICE_HeH_1010	HeH_10k	2	10830000	10840000	2
ICE_HeH_10106	HeH_10k	21	32650000	32660000	21
ICE_HeH_10109	HeH_10k	21	32830000	32840000	21
ICE_HeH_1011	HeH_10k	2	11130000	11140000	2
ICE_HeH_10110	HeH_10k	21	32930000	32940000	21
