loopID	loopSource	chr1	start1	end1	chr2
ICE_ER_1	ER_10k	1	1940000	1950000	1
ICE_ER_100	ER_10k	1	44220000	44230000	1
ICE_ER_1000	ER_10k	2	240000	250000	2
ICE_ER_10000	ER_10k	17	12170000	12180000	17
ICE_ER_10002	ER_10k	17	12180000	12190000	17
ICE_ER_10004	ER_10k	17	12250000	12260000	17
ICE_ER_10005	ER_10k	17	12750000	12760000	17
ICE_ER_10006	ER_10k	17	13590000	13600000	17
ICE_ER_10007	ER_10k	17	13590000	13600000	17
ICE_ER_10008	ER_10k	17	13590000	13600000	17
ICE_ER_10009	ER_10k	17	13590000	13600000	17
ICE_ER_1001	ER_10k	2	530000	540000	2
ICE_ER_10010	ER_10k	17	14280000	14290000	17
ICE_ER_10011	ER_10k	17	14290000	14300000	17
ICE_ER_10013	ER_10k	17	15250000	15260000	17
ICE_ER_10014	ER_10k	17	16360000	16370000	17
ICE_ER_10015	ER_10k	17	17350000	17360000	17
ICE_ER_10016	ER_10k	17	17350000	17360000	17
ICE_ER_10017	ER_10k	17	17350000	17360000	17
ICE_ER_1002	ER_10k	2	700000	710000	2
ICE_ER_10020	ER_10k	17	19350000	19360000	17
ICE_ER_10021	ER_10k	17	19510000	19520000	17
ICE_ER_10026	ER_10k	17	40430000	40440000	17
ICE_ER_10027	ER_10k	17	40550000	40560000	17
ICE_ER_10028	ER_10k	17	40620000	40630000	17
ICE_ER_10029	ER_10k	17	40800000	40810000	17
ICE_ER_1003	ER_10k	2	1580000	1590000	2
ICE_ER_10032	ER_10k	17	42320000	42330000	17
ICE_ER_10033	ER_10k	17	42710000	42720000	17
ICE_ER_10037	ER_10k	17	44770000	44780000	17
ICE_ER_10038	ER_10k	17	44770000	44780000	17
ICE_ER_10039	ER_10k	17	44780000	44790000	17
ICE_ER_1004	ER_10k	2	1580000	1590000	2
ICE_ER_10040	ER_10k	17	45270000	45280000	17
ICE_ER_10041	ER_10k	17	47150000	47160000	17
ICE_ER_10042	ER_10k	17	47670000	47680000	17
ICE_ER_10045	ER_10k	17	48680000	48690000	17
ICE_ER_10046	ER_10k	17	49310000	49320000	17
ICE_ER_10047	ER_10k	17	49310000	49320000	17
ICE_ER_10048	ER_10k	17	49400000	49410000	17
ICE_ER_1005	ER_10k	2	1860000	1870000	2
ICE_ER_10054	ER_10k	17	50850000	50860000	17
ICE_ER_10056	ER_10k	17	51300000	51310000	17
ICE_ER_10057	ER_10k	17	51300000	51310000	17
ICE_ER_10058	ER_10k	17	51370000	51380000	17
ICE_ER_10059	ER_10k	17	54990000	55000000	17
ICE_ER_1006	ER_10k	2	1850000	1860000	2
ICE_ER_10060	ER_10k	17	54990000	55000000	17
ICE_ER_10061	ER_10k	17	55530000	55540000	17
ICE_ER_10062	ER_10k	17	55530000	55540000	17
ICE_ER_10064	ER_10k	17	55830000	55840000	17
ICE_ER_10066	ER_10k	17	56820000	56830000	17
ICE_ER_10067	ER_10k	17	57120000	57130000	17
ICE_ER_10070	ER_10k	17	57240000	57250000	17
ICE_ER_10074	ER_10k	17	57860000	57870000	17
ICE_ER_10075	ER_10k	17	58300000	58310000	17
ICE_ER_10077	ER_10k	17	58580000	58590000	17
ICE_ER_10078	ER_10k	17	58710000	58720000	17
ICE_ER_10079	ER_10k	17	59310000	59320000	17
ICE_ER_1008	ER_10k	2	1890000	1900000	2
ICE_ER_10080	ER_10k	17	59320000	59330000	17
ICE_ER_10081	ER_10k	17	59750000	59760000	17
ICE_ER_10082	ER_10k	17	60160000	60170000	17
ICE_ER_10083	ER_10k	17	60160000	60170000	17
ICE_ER_10084	ER_10k	17	60710000	60720000	17
ICE_ER_10086	ER_10k	17	60720000	60730000	17
ICE_ER_10087	ER_10k	17	60970000	60980000	17
ICE_ER_10088	ER_10k	17	60970000	60980000	17
ICE_ER_10089	ER_10k	17	60990000	61000000	17
ICE_ER_1009	ER_10k	2	1890000	1900000	2
ICE_ER_10090	ER_10k	17	61410000	61420000	17
ICE_ER_10091	ER_10k	17	61630000	61640000	17
ICE_ER_10092	ER_10k	17	62690000	62700000	17
ICE_ER_10096	ER_10k	17	64140000	64150000	17
ICE_ER_10097	ER_10k	17	64310000	64320000	17
ICE_ER_10098	ER_10k	17	64950000	64960000	17
ICE_ER_10099	ER_10k	17	64940000	64950000	17
ICE_ER_101	ER_10k	1	44370000	44380000	1
ICE_ER_1010	ER_10k	2	2120000	2130000	2
ICE_ER_10100	ER_10k	17	65220000	65230000	17
ICE_ER_10101	ER_10k	17	65230000	65240000	17
ICE_ER_10102	ER_10k	17	65290000	65300000	17
ICE_ER_10103	ER_10k	17	65550000	65560000	17
