loopID	loopSource	chr1	start1	end1	chr2
ICE_iAMP_1	iAMP_10k	1	19910000	19920000	1
ICE_iAMP_10	iAMP_10k	1	22690000	22700000	1
ICE_iAMP_1000	iAMP_10k	2	84500000	84510000	2
ICE_iAMP_1001	iAMP_10k	2	84490000	84500000	2
ICE_iAMP_1002	iAMP_10k	2	84490000	84500000	2
ICE_iAMP_1003	iAMP_10k	2	85060000	85070000	2
ICE_iAMP_1006	iAMP_10k	2	85730000	85740000	2
ICE_iAMP_1007	iAMP_10k	2	85820000	85830000	2
ICE_iAMP_1009	iAMP_10k	2	88030000	88040000	2
ICE_iAMP_101	iAMP_10k	1	56830000	56840000	1
ICE_iAMP_1010	iAMP_10k	2	88230000	88240000	2
ICE_iAMP_1011	iAMP_10k	2	88410000	88420000	2
ICE_iAMP_1012	iAMP_10k	2	112610000	112620000	2
ICE_iAMP_1013	iAMP_10k	2	112740000	112750000	2
ICE_iAMP_1014	iAMP_10k	2	113700000	113710000	2
ICE_iAMP_1015	iAMP_10k	2	113970000	113980000	2
ICE_iAMP_1017	iAMP_10k	2	116510000	116520000	2
ICE_iAMP_1018	iAMP_10k	2	116510000	116520000	2
ICE_iAMP_1019	iAMP_10k	2	116740000	116750000	2
ICE_iAMP_102	iAMP_10k	1	56830000	56840000	1
ICE_iAMP_1020	iAMP_10k	2	117470000	117480000	2
ICE_iAMP_1022	iAMP_10k	2	118040000	118050000	2
ICE_iAMP_1023	iAMP_10k	2	118050000	118060000	2
ICE_iAMP_1024	iAMP_10k	2	118210000	118220000	2
ICE_iAMP_1025	iAMP_10k	2	118370000	118380000	2
ICE_iAMP_1026	iAMP_10k	2	118880000	118890000	2
ICE_iAMP_1027	iAMP_10k	2	118880000	118890000	2
ICE_iAMP_1028	iAMP_10k	2	119640000	119650000	2
ICE_iAMP_1029	iAMP_10k	2	119690000	119700000	2
ICE_iAMP_1031	iAMP_10k	2	120230000	120240000	2
ICE_iAMP_1032	iAMP_10k	2	120230000	120240000	2
ICE_iAMP_1036	iAMP_10k	2	120690000	120700000	2
ICE_iAMP_1039	iAMP_10k	2	121970000	121980000	2
ICE_iAMP_104	iAMP_10k	1	56830000	56840000	1
ICE_iAMP_1040	iAMP_10k	2	121990000	122000000	2
ICE_iAMP_1041	iAMP_10k	2	123810000	123820000	2
ICE_iAMP_1042	iAMP_10k	2	124030000	124040000	2
ICE_iAMP_1043	iAMP_10k	2	125740000	125750000	2
ICE_iAMP_1044	iAMP_10k	2	126230000	126240000	2
ICE_iAMP_1045	iAMP_10k	2	126390000	126400000	2
ICE_iAMP_1046	iAMP_10k	2	126520000	126530000	2
ICE_iAMP_1047	iAMP_10k	2	127190000	127200000	2
ICE_iAMP_1048	iAMP_10k	2	127320000	127330000	2
ICE_iAMP_1049	iAMP_10k	2	127870000	127880000	2
ICE_iAMP_105	iAMP_10k	1	58510000	58520000	1
ICE_iAMP_1050	iAMP_10k	2	128050000	128060000	2
ICE_iAMP_1051	iAMP_10k	2	128330000	128340000	2
ICE_iAMP_1052	iAMP_10k	2	128750000	128760000	2
ICE_iAMP_1053	iAMP_10k	2	132540000	132550000	2
ICE_iAMP_1054	iAMP_10k	2	132540000	132550000	2
ICE_iAMP_1055	iAMP_10k	2	132550000	132560000	2
ICE_iAMP_1057	iAMP_10k	2	133880000	133890000	2
ICE_iAMP_1058	iAMP_10k	2	133880000	133890000	2
ICE_iAMP_106	iAMP_10k	1	58520000	58530000	1
ICE_iAMP_1061	iAMP_10k	2	134240000	134250000	2
ICE_iAMP_1063	iAMP_10k	2	134460000	134470000	2
ICE_iAMP_1065	iAMP_10k	2	134990000	135000000	2
ICE_iAMP_1072	iAMP_10k	2	136120000	136130000	2
ICE_iAMP_1073	iAMP_10k	2	136130000	136140000	2
ICE_iAMP_1074	iAMP_10k	2	136420000	136430000	2
ICE_iAMP_1075	iAMP_10k	2	137870000	137880000	2
ICE_iAMP_1076	iAMP_10k	2	137920000	137930000	2
ICE_iAMP_1077	iAMP_10k	2	142160000	142170000	2
ICE_iAMP_1078	iAMP_10k	2	142150000	142160000	2
ICE_iAMP_108	iAMP_10k	1	58740000	58750000	1
ICE_iAMP_1080	iAMP_10k	2	144410000	144420000	2
ICE_iAMP_1084	iAMP_10k	2	144600000	144610000	2
ICE_iAMP_1085	iAMP_10k	2	146730000	146740000	2
ICE_iAMP_1086	iAMP_10k	2	146920000	146930000	2
ICE_iAMP_1087	iAMP_10k	2	147060000	147070000	2
