loopID	loopSource	chr1	start1	end1	chr2
ICE_KMT2A_1008	KMT2Ar_10k	2	135920000	135930000	2
ICE_KMT2A_1010	KMT2Ar_10k	2	136110000	136120000	2
ICE_KMT2A_104	KMT2Ar_10k	1	53480000	53490000	1
ICE_KMT2A_1051	KMT2Ar_10k	2	156330000	156340000	2
ICE_KMT2A_1055	KMT2Ar_10k	2	157320000	157330000	2
ICE_KMT2A_106	KMT2Ar_10k	1	53860000	53870000	1
ICE_KMT2A_107	KMT2Ar_10k	1	54060000	54070000	1
ICE_KMT2A_1074	KMT2Ar_10k	2	162150000	162160000	2
ICE_KMT2A_1085	KMT2Ar_10k	2	187130000	187140000	2
ICE_KMT2A_1092	KMT2Ar_10k	2	189660000	189670000	2
ICE_KMT2A_1093	KMT2Ar_10k	2	189780000	189790000	2
ICE_KMT2A_1105	KMT2Ar_10k	2	195660000	195670000	2
ICE_KMT2A_1117	KMT2Ar_10k	2	197800000	197810000	2
ICE_KMT2A_1118	KMT2Ar_10k	2	197800000	197810000	2
ICE_KMT2A_1126	KMT2Ar_10k	2	200580000	200590000	2
ICE_KMT2A_1155	KMT2Ar_10k	2	209420000	209430000	2
ICE_KMT2A_1165	KMT2Ar_10k	2	212680000	212690000	2
ICE_KMT2A_1166	KMT2Ar_10k	2	212770000	212780000	2
ICE_KMT2A_1187	KMT2Ar_10k	2	164730000	164740000	2
ICE_KMT2A_1194	KMT2Ar_10k	2	165400000	165410000	2
ICE_KMT2A_1195	KMT2Ar_10k	2	165950000	165960000	2
ICE_KMT2A_1204	KMT2Ar_10k	2	168160000	168170000	2
ICE_KMT2A_1210	KMT2Ar_10k	2	169450000	169460000	2
ICE_KMT2A_1216	KMT2Ar_10k	2	171160000	171170000	2
ICE_KMT2A_1229	KMT2Ar_10k	2	174150000	174160000	2
ICE_KMT2A_1234	KMT2Ar_10k	2	175240000	175250000	2
ICE_KMT2A_1235	KMT2Ar_10k	2	175360000	175370000	2
ICE_KMT2A_1237	KMT2Ar_10k	2	175690000	175700000	2
ICE_KMT2A_1238	KMT2Ar_10k	2	176120000	176130000	2
ICE_KMT2A_1239	KMT2Ar_10k	2	176120000	176130000	2
ICE_KMT2A_1247	KMT2Ar_10k	2	178110000	178120000	2
ICE_KMT2A_1258	KMT2Ar_10k	2	181300000	181310000	2
ICE_KMT2A_1261	KMT2Ar_10k	2	217780000	217790000	2
ICE_KMT2A_1262	KMT2Ar_10k	2	218290000	218300000	2
ICE_KMT2A_1264	KMT2Ar_10k	2	219040000	219050000	2
