chr1	start1	end1	chr2	start2	end2
1	1930000	1940000	1	3420000	3430000
1	5510000	5520000	1	5740000	5750000
1	39110000	39120000	1	39250000	39260000
2	236180000	236190000	2	237060000	237070000
2	236340000	236350000	2	237060000	237070000
2	236510000	236520000	2	237030000	237040000
2	237140000	237150000	2	237750000	237760000
2	237510000	237520000	2	237740000	237750000
2	238360000	238370000	2	238780000	238790000
1	39810000	39820000	1	39970000	39980000
2	239030000	239040000	2	239990000	240000000
2	241250000	241260000	2	241650000	241660000
3	38000000	38010000	3	38470000	38480000
3	38110000	38120000	3	38480000	38490000
3	38510000	38520000	3	39290000	39300000
1	40140000	40150000	1	40410000	40420000
3	39440000	39450000	3	39980000	39990000
3	39720000	39730000	3	39980000	39990000
3	40320000	40330000	3	41880000	41890000
3	40320000	40330000	3	42100000	42110000
3	40330000	40340000	3	42230000	42240000
3	40580000	40590000	3	41870000	41880000
3	40580000	40590000	3	42220000	42230000
3	41890000	41900000	3	42100000	42110000
1	40600000	40610000	1	40950000	40960000
3	41890000	41900000	3	42220000	42230000
3	41890000	41900000	3	42440000	42450000
3	41890000	41900000	3	42550000	42560000
3	42110000	42120000	3	42210000	42220000
3	42240000	42250000	3	42440000	42450000
3	42240000	42250000	3	42540000	42550000
3	43230000	43240000	3	43490000	43500000
3	43540000	43550000	3	44200000	44210000
3	44530000	44540000	3	44910000	44920000
3	45030000	45040000	3	45500000	45510000
1	40610000	40620000	1	40840000	40850000
3	45030000	45040000	3	45660000	45670000
3	45030000	45040000	3	45920000	45930000
3	45040000	45050000	3	45210000	45220000
3	45510000	45520000	3	45650000	45660000
3	46480000	46490000	3	46630000	46640000
3	47520000	47530000	3	47790000	47800000
3	47830000	47840000	3	48150000	48160000
3	48250000	48260000	3	49450000	49460000
1	41270000	41280000	1	41420000	41430000
3	48270000	48280000	3	48540000	48550000
3	49310000	49320000	3	49440000	49450000
3	50620000	50630000	3	51370000	51380000
3	52000000	52010000	3	52130000	52140000
3	52740000	52750000	3	53070000	53080000
3	52850000	52860000	3	53700000	53710000
3	53110000	53120000	3	53710000	53720000
3	53210000	53220000	3	53710000	53720000
